incidentid,age,gender,race,criminalhistory
19760212MIMUD,Teen,Male,unknown,unknown
19760212MIMUD,Teen,Male,unknown,unknown
19760212MIMUD,Teen,Male,unknown,unknown
19760212MIMUD,Teen,Male,unknown,unknown
19760212MIMUD,Teen,Male,unknown,unknown
19760212MIMUD,Teen,Male,unknown,unknown
19760412TXODF,Adolescent,Male,unknown,unknown
19760513MOMAS,Adolescent,Male,unknown,unknown
19760514FLPAW,Adolescent,Male,unknown,unknown
19760602MDMTC,unknown,unknown,unknown,unknown
19760920NCGUG,Adult,Male,unknown,unknown
19761110MIBUD,Adult,Male,unknown,unknown
19761210MOFRS,Child,Male,unknown,unknown
19770113ILOLB,Adolescent,Male,unknown,unknown
19770209ILFEC,Adolescent,Male,unknown,unknown
19770228MOROS,Young Adult,Male,unknown,unknown
19770228TXHOA,Adolescent,Male,unknown,unknown
19770308ILCOE,Adolescent,Male,unknown,unknown
19770321NYPAH,Young Adult,Male,unknown,unknown
19770407TXWHW,Adolescent,Male,unknown,unknown
19770418TNPIN,Adult,Male,unknown,unknown
19770517FLSTC,Young Adult,Male,unknown,unknown
19770622ILHOC,Teen,unknown,unknown,unknown
19770711COSOC,Adolescent,unknown,unknown,unknown
19771129MOHAS,Young Adult,Male,unknown,unknown
19771129MOVAS,Young Adult,Male,unknown,unknown
19771209CAPES,Adult,Male,unknown,unknown
19771212FLWEW,Adult,Male,unknown,unknown
19771215MABLC,unknown,Male,unknown,unknown
19780111KYCHH,Adolescent,Male,unknown,unknown
19780209WVHAS,Adolescent,Male,White,unknown
19780222MIEVL,Adolescent,Male,White,unknown
19780309CAMOS,Adolescent,Male,unknown,unknown
19780329TNGAN,Adult,Male,Black,unknown
19780414MIFOD,Adolescent,Male,unknown,unknown
19780426TXPAD,Adult,Female,unknown,unknown
19780428ILRIN,Teen,Male,unknown,unknown
19780518TXMUA,Adolescent,Male,White,unknown
19780519PADOP,unknown,unknown,unknown,unknown
19780607DEDOD,Adolescent,Male,unknown,unknown
19780610MAWEW,Adolescent,Male,unknown,unknown
19781017ALLAL,Adolescent,Male,White,unknown
19781017MOUNU,Teen,Male,White,unknown
19781129NYPAN,Adolescent,Male,unknown,unknown
19781214CTWIN,Adolescent,Male,unknown,unknown
19790129CAGRS,Adolescent,Female,White,unknown
19790314FLMCM,Teen,Male,Black,unknown
19790328CALOL,Young Adult,Male,unknown,unknown
19790416WIWIM,Adult,Male,unknown,unknown
19790425PAMAH,unknown,unknown,unknown,unknown
19790426TXAZA,Adolescent,Male,unknown,unknown
19790614OHNEN,Adolescent,Male,unknown,unknown
19790926LACAN,Adolescent,Male,unknown,unknown
19790926LACAN,Adolescent,Male,unknown,unknown
19790928MACHC,Teen,Male,White,unknown
19790928MACHC,Teen,Male,White,unknown
19791023MOOFS,Adolescent,Male,unknown,unknown
19791105INWAI,Young Adult,Male,unknown,unknown
19791130TXUNL,Adolescent,Male,unknown,unknown
19791203MDEAB,Teen,Male,unknown,unknown
19791203MDEAB,Teen,Male,unknown,unknown
19791203MDEAB,Teen,Male,unknown,unknown
19791203MDEAB,Teen,Male,unknown,unknown
19791221MOBLS,Adolescent,Male,unknown,unknown
19800107ARSTS,Adolescent,Male,White,unknown
19800129VALAW,Adolescent,Male,unknown,unknown
19800201DCLAW,Child,Male,unknown,unknown
19800207TXVAL,Child,Male,unknown,unknown
19800211INARI,Adolescent,Male,unknown,unknown
19800211INARI,Young Adult,Male,unknown,unknown
19800215MSHUM,Adult,Male,unknown,unknown
19800320TXJLD,Adult,Male,unknown,unknown
19800331MDFRB,Adolescent,Male,Black,unknown
19800417VACAC,Adult,Male,unknown,unknown
19800530NYCLB,Adolescent,Male,unknown,unknown
19800902CAWHL,Young Adult,Male,White,unknown
19800908FLFOJ,Teen,Male,unknown,unknown
19800910DCSPW,Young Adult,Male,unknown,unknown
19800911ALJOM,Adult,Female,unknown,unknown
19800926CTBRB,Young Adult,Male,unknown,unknown
19801013ALCET,Adolescent,Male,unknown,unknown
19801031ALHUH,Adolescent,Male,unknown,unknown
19801117TXEAF,Adolescent,Male,unknown,unknown
19801212ALPAB,Adolescent,Male,unknown,unknown
19801212OHLOL,Adolescent,Male,unknown,unknown
19810121OHWIB,Adolescent,Male,White,unknown
19810122MDFRB,Adolescent,Male,unknown,unknown
19810210ARLIL,Adolescent,Male,unknown,unknown
19810210CAMAL,Young Adult,Male,unknown,unknown
19810303INMAI,Adolescent,Male,unknown,unknown
19810328FLDIF,Young Adult,Male,unknown,unknown
19810402OHALC,Adolescent,Male,unknown,unknown
19810407MSPOP,unknown,unknown,unknown,unknown
19810515LANEN,Adult,Male,unknown,unknown
19810901PAWIP,unknown,Male,unknown,unknown
19810904NMHOS,Adolescent,Male,unknown,unknown
19810908FLSTW,Child,Male,unknown,unknown
19810913MDABA,Adult,unknown,unknown,unknown
19811013CTHAH,Adolescent,Male,unknown,unknown
19811209NYGEB,unknown,Male,unknown,unknown
19811216TXUNH,Adolescent,Male,unknown,unknown
19811223NYJAB,Teen,Male,unknown,unknown
19820205TNHAM,unknown,Male,unknown,unknown
19820208MADOD,Young Adult,Male,Black,unknown
19820209LAJON,Adolescent,Male,unknown,unknown
19820209LAJON,Adolescent,Male,unknown,unknown
19820315ORSPS,Adolescent,Male,unknown,unknown
19820317OHLOL,Adolescent,Male,unknown,unknown
19820319NVVAL,Adolescent,Male,Black,unknown
19820407CODEL,Adolescent,Male,White,unknown
19820415MDFOB,Teen,Male,unknown,unknown
19820429GARUE,Adolescent,Male,White,unknown
19820430FLANA,Young Adult,Male,unknown,unknown
19820527NVGAL,Teen,Male,unknown,unknown
19820527NVGAL,Teen,Male,unknown,unknown
19820527NVGAL,Teen,Male,unknown,unknown
19820910VALAB,Young Adult,Male,unknown,unknown
19820915ARSOP,Child,Male,unknown,unknown
19821101NYELE,Adolescent,Male,unknown,unknown
19821108MICOD,Adolescent,Male,unknown,unknown
19821112MSWIJ,Young Adult,Male,unknown,unknown
19821206ALHUH,Adolescent,Male,unknown,unknown
19821220MIFID,Adult,Male,unknown,unknown
19830118TXJOH,Young Adult,Male,unknown,unknown
19830120MOPAB,Adolescent,Male,White,unknown
19830128MDWIB,Adolescent,Male,unknown,unknown
19830130TXWEC,unknown,Male,unknown,unknown
19830131FLDED,Adolescent,Female,unknown,unknown
19830201TNRIM,Adolescent,Male,unknown,unknown
19830202NMALA,unknown,Male,unknown,unknown
19830331ILSAC,Child,Male,unknown,unknown
19830421MOBES,Adult,Male,unknown,unknown
19830516NYBRN,Young Adult,Male,unknown,unknown
19830516TXLAD,Adult,Male,unknown,Yes
19830518FLNOM,Young Adult,Male,Black,unknown
19830523OHMAM,Adolescent,Male,unknown,unknown
19830526PAGRJ,Adolescent,Male,unknown,unknown
19830912CAMAC,Teen,Male,unknown,unknown
19830912CAMAC,Teen,Male,unknown,unknown
19830912MIHED,Adolescent,Male,Black,unknown
19830921MDWAB,Young Adult,Male,unknown,unknown
19830930TXTET,Young Adult,Male,unknown,unknown
19831007CACOL,unknown,Male,unknown,unknown
19831022MDCAB,Young Adult,Male,unknown,unknown
19831108MIHIH,Adolescent,Male,unknown,unknown
19831117ILJAC,Adolescent,Male,unknown,unknown
19831118MDHAB,Adolescent,Male,Black,unknown
19831202INCRC,Adolescent,Male,unknown,unknown
19831216ILBOR,Adolescent,Male,unknown,unknown
19840105MDLAB,unknown,Male,unknown,unknown
19840206KYCEL,Adolescent,Male,unknown,unknown
19840221TXSHH,Adolescent,Male,unknown,unknown
19840224CA49L,Adult,Male,Black,unknown
19840405LACLC,Adolescent,Male,Black,unknown
19840420MIPRD,Adolescent,unknown,unknown,unknown
19840426NCROW,Child,Male,unknown,unknown
19840515MTCMG,Young Adult,Male,unknown,unknown
19840517IASOP,Adolescent,Male,unknown,unknown
19840517TXBOH,Young Adult,Male,unknown,unknown
19840518CANON,Adolescent,Male,unknown,unknown
19840522OHCLC,Young Adult,Male,unknown,unknown
19840710MIMUD,Adult,Male,unknown,unknown
19840831LABOS,unknown,Male,unknown,unknown
19840928TXMIH,unknown,unknown,unknown,unknown
19840928TXRIN,Young Adult,Male,White,unknown
19841021PAWYE,unknown,Male,unknown,unknown
19841022MICED,Adolescent,Male,Black,unknown
19841024MISOD,Adolescent,Male,unknown,unknown
19841024OHWEC,Adult,Female,White,unknown
19841030SCPEP,Young Adult,Male,unknown,unknown
19841031LAEAG,Adolescent,Male,White,unknown
19841109CTWIN,Adolescent,Male,unknown,unknown
19841126MDMIR,Adolescent,Male,unknown,unknown
19841207MOEDS,Adolescent,Male,White,unknown
19850118TXARA,Adolescent,Male,White,unknown
19850121KSGOG,Adolescent,Male,White,unknown
19850126MASTB,Adolescent,Male,unknown,unknown
19850205CTAIH,Young Adult,Male,unknown,unknown
19850416TXMAA,Adult,Male,unknown,unknown
19850516FLPAB,Adolescent,Female,unknown,unknown
19850724TXHIH,Adult,Female,unknown,unknown
19850904VAEAR,Child,Male,unknown,unknown
19850909TXWHH,Young Adult,Male,unknown,unknown
19850920TXLAC,Adolescent,Male,unknown,unknown
19850925OHTRT,Adolescent,Male,unknown,unknown
19851008MDLAB,Young Adult,Male,unknown,unknown
19851008MDLAB,Young Adult,Male,unknown,unknown
19851008MDLAB,Young Adult,Male,unknown,unknown
19851018MIMUD,unknown,unknown,unknown,unknown
19851022OHSOG,Adult,unknown,unknown,unknown
19851126WASPS,Adolescent,Female,unknown,unknown
19851127ALCHB,Adolescent,Male,unknown,unknown
19851203NHCOC,Adolescent,Male,White,unknown
19851209PAARP,Young Adult,Male,unknown,unknown
19851210CTPOP,Adolescent,Male,unknown,unknown
19860109NCNOD,Adolescent,Male,unknown,unknown
19860117CAVAL,Adolescent,Male,unknown,unknown
19860129MDLAB,Adolescent,Male,unknown,unknown
19860224LABOS,Adolescent,Male,unknown,unknown
19860306ILTHD,Adolescent,Male,unknown,unknown
19860423FLCHM,Adolescent,Male,unknown,unknown
19860429MOSES,Adolescent,Male,unknown,unknown
19860509NCPIF,Adolescent,Male,unknown,unknown
19860515GACAA,Teen,unknown,unknown,unknown
19860516WYCOC,Adult,Male,White,unknown
19860516WYCOC,Adult,Female,White,unknown
19860517TNMAN,Adolescent,Male,unknown,unknown
19860912CAFAL,Adolescent,Male,unknown,unknown
19860918CABEB,Young Adult,Male,unknown,unknown
19861003CAMOM,Young Adult,Male,unknown,unknown
19861003CAMOM,Young Adult,Male,unknown,unknown
19861003CAMOM,Adolescent,Male,unknown,unknown
19861008TXSOD,Young Adult,Male,unknown,unknown
19861204MTFEL,Adolescent,Male,unknown,unknown
19870114CALOL,Young Adult,Male,unknown,unknown
19870123MIRED,Adolescent,Male,unknown,unknown
19870210ARDAD,Adolescent,Male,unknown,unknown
19870213AZORM,Adolescent,Male,White,unknown
19870224NYMON,Adult,Male,unknown,unknown
19870224NYMON,Adult,Male,unknown,unknown
19870302MODED,Child,Male,White,unknown
19870306TXRIE,Young Adult,Male,unknown,unknown
19870306TXRIE,Adult,Male,unknown,unknown
