incidentid,age,gender,race,criminalhistory
19931104FLTEJ,Young Adult,Male,unknown,unknown
19931104MSBAB,unknown,unknown,unknown,unknown
19931111ILRIS,unknown,unknown,unknown,unknown
19931201WIWAW,Young Adult,Male,White,unknown
19931202CTNEN,unknown,Male,unknown,unknown
19931208GABES,Adolescent,Male,unknown,unknown
19931215CACHS,Adolescent,Male,unknown,unknown
19931217MICHC,Teen,Male,unknown,unknown
19940120CALOH,Teen,Male,unknown,unknown
19940121TXKEK,Adolescent,Male,unknown,unknown
19940124SCEAC,Young Adult,Male,Black,unknown
19940126DCELW,unknown,unknown,unknown,unknown
19940126DCPAW,Teen,Male,unknown,unknown
19940127CAWAS,Adult,Male,N/A,unknown
19940131WAWHS,Young Adult,Male,White,unknown
19940208MIOSD,unknown,unknown,unknown,unknown
19940218SCSPS,Adult,Male,unknown,unknown
19940301MOKEB,Adult,Male,Black,unknown
19940303ALENB,Adolescent,Male,unknown,unknown
19940309DCEAW,Adolescent,Male,unknown,unknown
19940315SCGOC,Teen,Male,unknown,unknown
19940323WABAS,Adolescent,Male,Hispanic,unknown
19940325GAETC,Adolescent,Male,unknown,unknown
19940405TXMCA,Adolescent,Male,unknown,unknown
19940408MDLAU,Adolescent,Male,unknown,unknown
19940412MTMAB,Child,Male,White,unknown
19940413CA49L,Child,Male,White,unknown
19940419DCELW,unknown,unknown,unknown,unknown
19940420INDIS,Adolescent,Male,unknown,unknown
19940421TNJTN,Adolescent,Male,Black,unknown
19940502FLNON,Young Adult,Male,unknown,unknown
19940525INLAS,Adolescent,Male,unknown,unknown
19940525NJLAW,Adolescent,Female,unknown,unknown
19940526KYLAU,Adolescent,Male,White,unknown
19940724PAMAM,Adolescent,Male,unknown,unknown
19940725IAOTO,Adolescent,Male,unknown,unknown
19940907CAHOL,unknown,Male,unknown,unknown
19940908NYSWA,Adolescent,Male,unknown,unknown
19940919CALOL,unknown,Male,unknown,unknown
19940922ORLEL,Adolescent,Male,unknown,unknown
19941012NCGRG,Adolescent,Male,White,unknown
19941017ILHUC,unknown,Male,unknown,unknown
19941031CAALA,Adolescent,Male,unknown,unknown
19941105CATHS,Adult,Male,unknown,unknown
19941107OHWIW,Adult,Male,White,unknown
19941108IAWEM,Adolescent,Male,unknown,unknown
19941115WASTT,Adolescent,Male,White,unknown
19950105DCCAW,Adolescent,Male,Black,unknown
19950110FLPAP,Adolescent,Male,unknown,unknown
19950112WAGAS,Adolescent,Male,Black,unknown
19950123CASAR,Adolescent,Male,White,unknown
19950124DCSPW,Adolescent,Male,unknown,unknown
19950202CAJOL,unknown,Male,unknown,unknown
19950208NECHS,Adolescent,Male,unknown,unknown
19950303MIPED,unknown,unknown,unknown,unknown
19950327MIRED,Young Adult,Male,unknown,unknown
19950614FLLAL,Young Adult,Male,unknown,unknown
19950829TXMEL,Child,Male,White,unknown
19950912TNCYM,Adolescent,Male,Black,unknown
19950914KSOLO,Adolescent,Male,Black,unknown
19950915KYGEW,Teen,Male,unknown,unknown
19950927ALBLP,Young Adult,Male,unknown,unknown
19950929FLTAT,Adolescent,Male,White,unknown
19951012SCBLB,Adolescent,Male,Black,unknown
19951023FLLAC,Adolescent,Female,unknown,unknown
19951030VAJOR,Adolescent,Male,Black,unknown
19951102FLBLM,Adult,Male,Asian,unknown
19951115TNRIL,Adolescent,Male,White,unknown
19951128NYTHN,unknown,Male,unknown,unknown
19960102PAGIG,Adolescent,Male,unknown,unknown
19960119DCWIW,Young Adult,Male,Black,unknown
19960126TNEAM,Adult,unknown,unknown,unknown
19960202WAFRM,Adolescent,Male,White,unknown
19960208CAMIM,Adolescent,Male,White,unknown
19960222GAJES,Adolescent,Male,Black,unknown
19960229MOBES,Young Adult,Male,Black,unknown
19960311NCNON,Adolescent,Male,White,unknown
19960319NVSWL,Teen,unknown,unknown,unknown
19960411ALTAT,Adolescent,Male,unknown,unknown
19960415DCMCW,unknown,unknown,unknown,unknown
19960514UTBIT,Adolescent,Male,White,unknown
19960522CACOC,Adolescent,Male,Hispanic,unknown
19960604CAWEH,Adolescent,Male,unknown,unknown
19960726CAJOL,Young Adult,Male,Hispanic,unknown
19960925GADED,Adolescent,Male,Black,unknown
19961002PASMP,Adult,Male,unknown,unknown
19961004CASTP,Adolescent,Male,unknown,unknown
19961009ARJAS,Adolescent,Male,Black,unknown
19961014MOSUS,Adolescent,Male,unknown,unknown
19961127CAHIS,unknown,unknown,unknown,unknown
19970108NYCRN,Young Adult,Male,Hispanic,unknown
19970108NYCRN,Young Adult,Male,Hispanic,unknown
19970108NYCRN,Young Adult,Male,Hispanic,unknown
19970127FLCOW,Adolescent,Male,Black,unknown
19970206MSWIJ,Adolescent,Male,Black,unknown
19970213NYMOB,Adolescent,Male,unknown,unknown
19970213NYSAB,Teen,Male,unknown,unknown
19970219AKBEB,Adolescent,Male,Native American/Alaska Native,unknown
19970220FLFIJ,Adolescent,Female,unknown,unknown
19970221NVRAL,Young Adult,Male,Other,unknown
19970317MIPED,Adolescent,Male,unknown,unknown
19970403CAMAM,unknown,unknown,unknown,unknown
19970428CAJOL,Adolescent,Male,unknown,unknown
19970430NYCIN,unknown,unknown,unknown,unknown
19970513FLNOM,Adolescent,Male,unknown,unknown
19970520OHDUD,Adolescent,Male,unknown,unknown
19970624ALJEM,Adolescent,Male,Black,unknown
19971001MSPEP,Adolescent,Male,White,unknown
19971005OKMOO,unknown,Male,White,unknown
19971010INWAG,Young Adult,Male,unknown,unknown
19971014TXLAG,Young Adult,Male,unknown,unknown
19971015FLLIP,Adolescent,Male,unknown,unknown
19971020CAMCO,unknown,unknown,unknown,unknown
19971022CAJON,Young Adult,Male,Asian,unknown
19971107FLRIJ,Young Adult,Male,unknown,unknown
19971113CACRS,Adult,Male,unknown,unknown
19971201KYHEW,Adolescent,Male,White,unknown
19971215ARSTS,Adolescent,Male,White,unknown
19980212NJHOH,Adult,Male,unknown,unknown
19980225MIRER,Adolescent,Male,unknown,unknown
19980227VAMAF,Young Adult,Male,Asian,unknown
19980324ARWEJ,Child,Male,White,unknown
19980324ARWEJ,Adolescent,Male,White,unknown
19980325CAFED,Adolescent,Male,unknown,unknown
19980325MICOC,Young Adult,Male,unknown,unknown
19980330NCGRC,Adolescent,Female,unknown,unknown
19980331WIOAO,Adolescent,Male,unknown,unknown
19980423CACUL,unknown,unknown,unknown,unknown
19980424PAPAE,Adolescent,Male,White,unknown
19980428CAPHP,Adolescent,Male,unknown,unknown
19980428WIPAP,Adolescent,Male,unknown,unknown
19980501FLNOM,Teen,Male,unknown,unknown
19980501NYPUB,Adult,Male,unknown,unknown
19980519TNLIF,Young Adult,Male,unknown,unknown
19980521CARIR,Adolescent,Male,Hispanic,unknown
19980521ORTHS,Adolescent,Male,White,Yes
19980521WAONO,Adolescent,Male,unknown,unknown
19980527CAWAP,unknown,Male,unknown,unknown
19980529FLSTF,Adult,Male,White,unknown
19980615VAARR,Adolescent,Male,unknown,unknown
19980911CAHEG,Adolescent,Male,unknown,unknown
19980930FLLEL,Adolescent,Male,unknown,unknown
19980930FLNOM,Young Adult,Male,unknown,unknown
19980930FLNOM,Adolescent,Male,unknown,unknown
19981103PAMAP,Young Adult,Male,unknown,unknown
19981103PAMAP,Adolescent,Male,unknown,unknown
19981130NYHAH,Adolescent,Female,unknown,unknown
19981203INERG,Adult,Female,unknown,unknown
19981211INBEI,Teen,Male,unknown,unknown
19990108GACEC,Adolescent,Female,unknown,unknown
19990108GACEC,Adolescent,Male,unknown,unknown
19990114NYHAN,Adolescent,Male,unknown,unknown
19990121TXRIN,Adolescent,Male,unknown,unknown
19990211ILOME,unknown,Male,unknown,unknown
19990211MSJEP,Adult,Male,unknown,unknown
19990304ILNIS,Adult,Male,unknown,unknown
19990416IDNON,Adolescent,Male,White,unknown
19990420COCOL,Adolescent,Male,White,No
19990420COCOL,Young Adult,Male,White,No
19990422GAMAA,Adolescent,Male,unknown,unknown
19990422LASCB,Adolescent,Male,unknown,unknown
19990520GAHEC,Adolescent,Male,White,unknown
19990825GAJAM,Adolescent,Female,unknown,unknown
19990909CASAS,Adolescent,Male,unknown,unknown
19990927FLEGT,unknown,unknown,unknown,unknown
19991004SDJOP,Adolescent,Male,unknown,unknown
19991011NVCLL,Young Adult,Male,Hispanic,unknown
19991021CASAP,Teen,Male,unknown,unknown
19991026PAMAP,Young Adult,Male,unknown,unknown
19991026WVGUB,Adult,Male,unknown,unknown
19991117TXDID,Adolescent,Male,unknown,unknown
19991119NMDED,Adolescent,Male,Hispanic,unknown
19991206OKFOF,Adolescent,Male,White,unknown
20000110AKBAA,Adolescent,Male,unknown,unknown
20000113NMALA,Teen,Male,unknown,unknown
20000119FLRIN,Adolescent,Male,White,unknown
20000120NCERA,Adolescent,Male,unknown,unknown
20000126CAALM,Adolescent,Male,unknown,unknown
20000126NESOO,Teen,Male,unknown,unknown
20000210PAPEY,Adolescent,Male,unknown,unknown
20000214ILDUC,Child,Male,unknown,unknown
20000229MIBUF,Child,Male,Black,unknown
20000310GABES,Young Adult,Male,unknown,unknown
20000323OHMCL,Adolescent,Male,unknown,unknown
20000406OKHUH,Adult,Female,unknown,unknown
20000410AZLAT,Adult,Female,unknown,unknown
20000502COTHD,Adolescent,Male,unknown,unknown
20000510AZCAS,Adult,Male,unknown,unknown
20000526FLLAL,Adolescent,Male,Black,unknown
20000717WADIR,Adolescent,Male,unknown,unknown
20000726OHTIC,Young Adult,Male,unknown,unknown
20000905OHBIB,Adult,Male,unknown,unknown
20000907ILLOR,Young Adult,Male,White,unknown
20000918OHMOM,Adolescent,Male,unknown,unknown
20000926LACAN,Adolescent,Male,Black,unknown
20000926LACAN,Adolescent,Male,Black,unknown
20001005MNMIM,unknown,Male,unknown,unknown
20001024AZPIG,Adolescent,Male,unknown,unknown
20001101TXNEC,Adolescent,Male,unknown,unknown
20001201CAGRL,Adolescent,Male,unknown,unknown
20001201CAJUS,Adolescent,Male,unknown,unknown
20001207CARIR,Teen,unknown,unknown,unknown
20001221FLNOM,Teen,Male,unknown,unknown
20010103CABAS,Adolescent,Male,unknown,unknown
20010110CAHUO,Adolescent,Male,Hispanic,unknown
20010117MDLAB,Young Adult,Male,unknown,unknown
20010202MIOSD,Teen,Male,unknown,unknown
20010302CAHOS,Young Adult,Male,unknown,unknown
20010305CASAS,Adolescent,Male,White,unknown
20010306MDLAL,Adolescent,Male,unknown,Yes
20010307PABIW,Adolescent,Female,White,unknown
20010307WAKEC,Adolescent,Male,unknown,unknown
20010322CAGRE,Young Adult,Male,White,unknown
20010330INLEG,Adolescent,Male,Black,unknown
20010402TXKLH,Adolescent,Female,unknown,unknown
20010410WAWAM,Adolescent,Male,unknown,unknown
20010420LAMOM,Adolescent,Male,unknown,unknown
20010425OHJOC,unknown,unknown,unknown,unknown
20010515TXENE,Adolescent,Male,unknown,unknown
20010607TXOUA,Adult,unknown,unknown,unknown
20010730CABEL,unknown,Male,unknown,unknown
20010912KYLAC,Adult,Female,White,unknown
20010921MDLAB,Adolescent,Male,unknown,unknown
20011012UTTAT,Adolescent,Male,unknown,unknown
20011026CARER,Adolescent,Male,unknown,unknown
20011026MIBES,Teen,Male,unknown,unknown
20011112MICAC,Adolescent,Male,unknown,unknown
20011130TXFRF,Adult,Female,unknown,unknown
20020111MSRAJ,Young Adult,Male,Black,unknown
20020115NYMAN,Young Adult,Male,Hispanic,unknown
20020124PAOLO,Adult,Male,unknown,unknown
20020201TXBRB,Adult,Male,unknown,unknown
20020206CAGAL,Adolescent,Male,unknown,unknown
20020207ILROC,Adolescent,Male,unknown,unknown
20020322CAJOC,Adolescent,Male,unknown,unknown
20020406MDLEB,Adult,Male,N/A,unknown
20020426LAABN,Adult,Male,unknown,unknown
20021004MTCMG,Young Adult,Male,White,unknown
20021004TXPAS,Adolescent,Female,unknown,unknown
20021007MDBEB,Adolescent,Male,Black,unknown
20021029NJLIJ,Adolescent,Male,unknown,unknown
20021107MOSTL,Adult,Male,unknown,unknown
20021115CAAML,unknown,unknown,unknown,unknown
20021115TXSCS,Young Adult,Male,unknown,Yes
20021202MIOSD,Adolescent,Male,unknown,unknown
20021212WAWIC,Adolescent,Male,unknown,unknown
20021216ILENC,Adolescent,Male,unknown,unknown
20030121KYWEO,Child,Male,unknown,unknown
20030130OKJEJ,Adolescent,Male,unknown,unknown
20030205CORAW,Adolescent,Male,unknown,unknown
20030318IACLG,Adolescent,Male,unknown,unknown
20030321MSNOM,Adolescent,Male,unknown,unknown
20030330CAROW,Young Adult,Male,unknown,unknown
20030401DCCAW,Adolescent,Male,unknown,unknown
20030414LAFAS,Young Adult,Male,unknown,unknown
20030414LAJON,Adolescent,Male,Black,unknown
20030414LAJON,Adolescent,Male,Black,unknown
20030414LAJON,Young Adult,Male,Black,unknown
20030416TXGRA,Child,Female,unknown,unknown
20030424PARER,Adolescent,Male,White,unknown
20030513PAFOJ,Young Adult,Male,unknown,unknown
20030604PAROW,Child,Male,unknown,unknown
20030910MSVIV,Young Adult,Male,unknown,unknown
20030917MACHB,Adolescent,Male,unknown,unknown
20030917MDOKE,Adolescent,Male,unknown,unknown
20030922WALES,Adolescent,Male,White,unknown
20030924MNROC,Adolescent,Male,White,unknown
20030925NCBUL,Adolescent,Male,unknown,unknown
20031001CARIS,Young Adult,Male,unknown,unknown
20031007OHKEA,Adolescent,Male,unknown,unknown
20031029LAMAM,Adolescent,Male,unknown,unknown
20031030DCANW,unknown,Male,unknown,unknown
20031108TXHIS,Young Adult,Male,unknown,unknown
20031113NCEAC,Adolescent,Male,unknown,unknown
20031202ILFEC,Adult,Male,unknown,unknown
20031204OKDOO,Young Adult,Male,unknown,unknown
20031205ILCAC,Adolescent,Male,unknown,unknown
20031217MDOLM,unknown,unknown,unknown,unknown
20031222NJCOW,Young Adult,Male,unknown,unknown
20031229FLABE,Adolescent,Male,unknown,unknown
20040115CAPOP,Adolescent,Male,unknown,unknown
20040121NVFAH,Adult,Male,Black,unknown
20040202DCBAW,Young Adult,Male,Black,unknown
20040203TXYOH,Child,Male,unknown,unknown
20040206LAFAS,Adult,unknown,unknown,unknown
20040209NYCOE,Adolescent,Male,White,unknown
20040211PATMP,Young Adult,Male,Black,unknown
20040211PATMP,Young Adult,Male,Black,unknown
20040213OHCOD,Adolescent,Male,unknown,unknown
20040220LAGAS,Adult,Male,unknown,unknown
20040305CASAL,unknown,Male,unknown,unknown
20040317WACRJ,Adolescent,Male,unknown,unknown
20040504TXKAH,Teen,Male,unknown,unknown
20040507MDRAR,Adolescent,Male,Black,unknown
20040507MDRAR,Young Adult,Male,Black,unknown
20040512CAEAM,Young Adult,Male,unknown,unknown
20040524UTWES,Adult,Male,unknown,unknown
20040609CACAO,unknown,Male,unknown,unknown
20040803ALHUB,Adolescent,Male,unknown,unknown
20040824TNHAM,Adolescent,Male,unknown,unknown
20040830ILPRM,Adult,Male,Black,unknown
20040912LABON,Adult,Female,unknown,unknown
20040915INWIG,Adolescent,Male,unknown,unknown
20041002NEJEG,Young Adult,Male,unknown,unknown
20041007MANEN,Adolescent,Male,unknown,unknown
20041012CALAS,Adult,Male,unknown,unknown
20041012CALAS,Adult,Male,unknown,unknown
20041015CABIB,Young Adult,Male,unknown,unknown
20041021MDTHB,Adolescent,Male,unknown,Yes
20041022CATYH,unknown,unknown,unknown,unknown
20041115ALPAB,Young Adult,Male,unknown,unknown
20041115INBRG,Young Adult,Male,unknown,unknown
20041115INBRG,Young Adult,Male,unknown,unknown
20041116SCBAB,Young Adult,Male,unknown,unknown
20041117FLAPA,Adolescent,Male,unknown,unknown
20041119FLTEJ,Teen,Male,unknown,unknown
20041209WALAS,Adolescent,Male,unknown,unknown
20041213LALAL,unknown,Male,unknown,unknown
20041231TXRIR,Adult,Male,unknown,unknown
20050105PAMUN,Adolescent,Male,unknown,unknown
20050126ILWOP,Adolescent,Male,unknown,unknown
20050204GAMCA,Young Adult,Male,unknown,unknown
20050208ILBOC,Teen,Male,unknown,unknown
20050302TNSTD,Adolescent,Male,White,unknown
20050309TNMAN,Adolescent,Male,unknown,unknown
20050310TXZAD,unknown,Male,unknown,unknown
20050314OHLEC,Child,Male,unknown,unknown
20050316PACAP,Young Adult,Male,unknown,unknown
20050317CALOL,Young Adult,Male,Black,unknown
20050317LAOPA,unknown,Male,unknown,unknown
20050321MNRER,Adolescent,Male,Native American/Alaska Native,unknown
20050321NYNEB,Adolescent,Male,unknown,unknown
20050324TNFAM,Adolescent,Female,unknown,unknown
20050330TNEAM,Adolescent,Male,unknown,unknown
20050407TXCAC,Adult,Male,White,unknown
20050427LALER,Adolescent,Male,unknown,unknown
20050429OHDAC,Adolescent,Male,unknown,unknown
20050514TXBER,Adolescent,Male,unknown,unknown
20050517PAHIL,Adult,Male,unknown,unknown
20050520ILLOM,Young Adult,Male,unknown,unknown
20050524COACD,unknown,unknown,unknown,unknown
20050524LABOS,Adolescent,Male,unknown,unknown
20050608NYARP,Adolescent,Male,unknown,unknown
20050612NJBAA,Adult,Male,unknown,unknown
20050718NJWEN,Adult,Male,unknown,unknown
20050816VICOE,Adult,Male,unknown,unknown
20050816VICOE,Adult,Male,unknown,unknown
20050817CAPLB,Adult,Male,unknown,unknown
20050819GAMOM,unknown,Male,unknown,unknown
20050825TNMAD,Teen,Male,unknown,unknown
20050901AKDIA,Adolescent,Male,unknown,unknown
20050902FLSOJ,Young Adult,Male,unknown,unknown
20050913ILHAC,Adolescent,Male,Black,unknown
20050924MISAS,unknown,unknown,unknown,unknown
20051011MIFAF,Adolescent,Male,unknown,unknown
20051014NYSAN,Teen,Male,unknown,unknown
20051019CASAS,Adolescent,Male,unknown,unknown
20051020MISAS,Adolescent,Male,unknown,unknown
20051027CABIF,Adult,Male,unknown,unknown
20051028MDANA,Adolescent,Male,unknown,unknown
20051028NYFAF,unknown,Male,unknown,unknown
20051108TNCAJ,Adolescent,Male,White,unknown
20051115FLPAM,Adolescent,Female,unknown,unknown
20051116TXIRS,Adult,Male,unknown,unknown
20051205MABOR,Adolescent,Male,Black,unknown
20051206CASAG,unknown,Male,Hispanic,unknown
20051206MICED,unknown,unknown,unknown,unknown
20060103NJLIJ,Teen,Male,unknown,unknown
20060110DEMOW,Teen,Male,unknown,unknown
20060111WIMAM,unknown,unknown,unknown,unknown
20060113ALPIP,Young Adult,Male,unknown,unknown
20060113FLMIL,Adolescent,Male,White,unknown
20060113MIOSD,Teen,Male,unknown,unknown
20060118MTFRA,Adolescent,Female,unknown,unknown
20060118TXPAA,Teen,Male,unknown,unknown
20060118VAINC,Young Adult,Male,unknown,unknown
20060119OHWIC,Young Adult,Male,unknown,unknown
20060119OHWIC,Young Adult,Male,unknown,unknown
20060123CAWIV,Adolescent,Male,unknown,unknown
20060127TXLAG,Adolescent,Male,unknown,unknown
20060130MTCMG,Adolescent,Male,unknown,unknown
20060203CALOC,Child,Male,unknown,unknown
20060209DEWIN,unknown,Male,unknown,unknown
20060215PAWEY,Adult,Male,unknown,unknown
20060221PAWEP,Young Adult,Male,unknown,unknown
20060223ORROR,Adolescent,Male,White,unknown
20060310NYISN,Adolescent,Male,unknown,unknown
20060310NYISN,Adolescent,Male,unknown,unknown
20060314NVPIR,Adolescent,Male,White,unknown
20060405DCROW,unknown,unknown,unknown,unknown
20060418TXWEH,unknown,Male,unknown,unknown
20060424NCEAC,Adolescent,Male,unknown,unknown
20060505FLPAM,Teen,Male,unknown,unknown
20060522SCBUI,Young Adult,Male,unknown,unknown
20060525PANON,Young Adult,Male,unknown,unknown
20060605CAVEL,unknown,Male,Black,unknown
20060606INWIG,Young Adult,Male,unknown,unknown
20060615MIPED,Adult,Male,unknown,unknown
20060731FLYOT,Adult,Male,Hispanic,unknown
20060815KYJTV,Adolescent,Male,unknown,unknown
20060817TXMEA,Young Adult,Male,Hispanic,unknown
20060817TXMEA,Adolescent,Male,Hispanic,unknown
20060819OHSOY,Adult,Male,unknown,unknown
20060820GALYH,Teen,Male,unknown,unknown
20060821INCAN,Adolescent,Male,unknown,unknown
20060824VTESE,Adult,Male,Black,unknown
20060829DCANW,Adolescent,Male,unknown,unknown
20060830NCORH,Young Adult,Male,Hispanic,unknown
20060831ALOXO,Young Adult,Male,unknown,unknown
20060905TNKIM,Adult,unknown,unknown,unknown
20060908TXSOF,Adult,Male,unknown,unknown
20060913MOWEC,Adolescent,Male,unknown,unknown
20060921DCCAW,Adolescent,Male,unknown,unknown
20060927COPLB,Adult,Male,White,unknown
20060929WIWEC,Adolescent,Male,White,unknown
20061002PAWEN,Adult,Male,White,unknown
20061009MOMEJ,Adolescent,Male,White,unknown
20061010NYPOP,Teen,Male,unknown,unknown
20061012MDGRB,Child,Male,unknown,unknown
20061017TXSEK,Adolescent,Female,unknown,unknown
20061031TNHAK,Adult,Male,unknown,unknown
20061111CALIO,Adult,Male,unknown,unknown
20061122GASAA,unknown,Male,unknown,unknown
20061201NCJOT,Young Adult,Male,unknown,unknown
20061207NENOO,Adolescent,Male,unknown,unknown
20061211ILCLC,Adolescent,Male,unknown,unknown
20061212PASPS,Adolescent,Male,unknown,unknown
20061213PABAB,Teen,Male,unknown,unknown
20061214PAMCC,Adolescent,Male,White,unknown
20070102NCWEF,Adolescent,Male,unknown,unknown
20070103WAHET,Young Adult,Male,Asian,unknown
20070104MINOD,unknown,Male,unknown,unknown
20070108OHROC,Adolescent,Male,unknown,unknown
20070109CAGRV,unknown,Male,unknown,unknown
20070109NVWEL,Adult,Male,unknown,unknown
20070118PAWIP,Teen,Male,unknown,unknown
20070124TNHAS,Adolescent,Male,unknown,unknown
20070131ILHIC,unknown,Male,unknown,unknown
20070207FLPAJ,Adolescent,Male,unknown,unknown
20070208ORCRP,Young Adult,Male,unknown,unknown
20070208TXSTP,Teen,Male,unknown,unknown
20070226CASLA,Child,Male,unknown,unknown
20070227GACLA,Child,Male,unknown,unknown
20070307CACEC,unknown,Male,unknown,unknown
20070307MIHEM,Adolescent,Male,unknown,unknown
20070307TXGRG,Adolescent,Male,unknown,unknown
20070308TNEAC,Adult,Male,unknown,unknown
20070323FLUNO,Child,Male,unknown,unknown
20070327CTSAH,unknown,Male,unknown,unknown
20070329SCMYM,Young Adult,Male,unknown,unknown
20070410ILCHC,Adolescent,Male,unknown,unknown
20070410ORSPG,Adolescent,Male,unknown,unknown
20070418NCNOH,Adolescent,Male,unknown,unknown
20070503OHGED,Adolescent,Male,unknown,unknown
20070504TXTIE,Adolescent,Female,unknown,unknown
20070510MIHED,unknown,unknown,unknown,unknown
20070512TXWEM,Adolescent,Male,unknown,unknown
20070515TXLIL,Adolescent,Male,unknown,unknown
20070523RIOAC,Child,Male,unknown,unknown
20070530NCVAG,unknown,Male,unknown,unknown
20070531NCNOG,unknown,Male,unknown,unknown
20070617SCBRB,Young Adult,Male,unknown,unknown
20070628TXDAD,Adolescent,Male,unknown,unknown
20070709ILCAC,unknown,Male,unknown,unknown
20070804NJMON,Young Adult,Male,unknown,unknown
20070928CALAO,Adolescent,Male,White,unknown
20070930AZSSP,Young Adult,Male,Other,unknown
20071001CTPLM,Adolescent,Male,unknown,unknown
20071010OHSUC,Adolescent,Male,White,unknown
20071024TNMAM,Adolescent,Male,unknown,unknown
20071105LAJOR,Adolescent,Male,unknown,unknown
20071126NYHOH,Adolescent,Male,White,unknown
20071221CABAU,Young Adult,Male,Hispanic,unknown
20080204TNHAM,Adolescent,Male,Black,unknown
20080211TNMIM,Adolescent,Male,unknown,unknown
20080214CAEOO,Adolescent,Male,unknown,unknown
20080306ALDAM,Young Adult,Male,unknown,unknown
20080416CAROF,Adult,unknown,unknown,unknown
20080516LAMAT,Teen,Male,unknown,unknown
20080811WAWAK,Adult,Male,unknown,unknown
20080814WALAF,Adolescent,Male,Hispanic,unknown
20080821TNCEK,Adolescent,Male,Hispanic,unknown
20080902OHSOW,Adolescent,Male,unknown,unknown
20080915CAMIS,Adolescent,Male,unknown,unknown
20080919CAGEA,unknown,Male,unknown,unknown
20081016MIHED,Adolescent,Male,Black,unknown
20081020CAVAA,Adolescent,Male,White,unknown
20081023ALPRP,Adult,Male,unknown,unknown
20081029CAELG,Child,Male,unknown,unknown
20081031MESTS,Adult,Male,unknown,unknown
20081103CABEB,unknown,unknown,unknown,unknown
20081103CAELO,unknown,unknown,unknown,unknown
20081112FLDIF,Adolescent,Female,Black,unknown
20081115COTHL,Young Adult,Male,unknown,unknown
20081115UTDES,Adolescent,Male,unknown,unknown
20081118CACEC,Young Adult,Male,unknown,unknown
20081118CACOO,Adolescent,Male,unknown,unknown
20081125TXNOH,Young Adult,Male,unknown,unknown
20081130CAOAG,Adult,Male,unknown,unknown
20081202CAKIK,Adolescent,Male,unknown,unknown
20081205MNSHF,Adult,Male,unknown,unknown
20081212NCGUA,Adolescent,Female,unknown,unknown
20081212NYWIM,Adult,Male,Black,unknown
20081221SCSUS,Young Adult,Male,unknown,unknown
20081222FLLAL,Adult,Female,White,unknown
20081227PAWIP,unknown,unknown,unknown,unknown
20081231GASHS,Young Adult,Female,unknown,unknown
20081231OKKEN,Adult,Male,unknown,unknown
20090108DEWIN,Adult,Female,unknown,unknown
20090109ILDUC,Young Adult,Male,Black,unknown
20090114ILPEC,unknown,unknown,unknown,unknown
20090120ILCOC,Adolescent,Male,unknown,unknown
20090120ILCOC,Adolescent,Male,unknown,unknown
20090120MIBEM,Young Adult,Male,unknown,unknown
20090120PAEAE,Adolescent,Male,Hispanic,unknown
20090123ILCAC,Young Adult,Male,unknown,unknown
20090127NCCLC,Young Adult,Male,Black,unknown
20090210CABAE,Child,Male,unknown,unknown
20090211NCSCZ,Child,Male,unknown,unknown
20090217MICED,Adolescent,Male,unknown,unknown
20090217MICED,Young Adult,Male,unknown,unknown
20090220CAJOH,unknown,Male,unknown,unknown
20090223CTBRN,Young Adult,Male,unknown,unknown
20090302SDROS,Child,Male,unknown,unknown
20090306NCWEF,Young Adult,Male,unknown,unknown
20090310FLRIJ,Teen,Male,unknown,unknown
20090310FLRIJ,Teen,Male,unknown,unknown
20090311TXCYH,Teen,Male,unknown,unknown
20090413CALOL,unknown,Male,Hispanic,unknown
20090501WISHS,Adolescent,Male,unknown,unknown
20090505NYCAC,Adolescent,Male,White,unknown
20090518LALAL,Adolescent,Male,White,unknown
20090615CAINS,unknown,Male,unknown,unknown
20090624IAAPP,Young Adult,Male,White,unknown
20090827NCWEF,Adolescent,Male,unknown,unknown
20090908CTSTS,Adolescent,Male,unknown,unknown
20090916VAVIG,Adolescent,Male,unknown,unknown
20091008NYMAM,Adult,Male,unknown,unknown
20091016SCCAC,Adult,Male,unknown,unknown
20091030CAWIL,Young Adult,Male,Black,unknown
20091106PAHAW,Adolescent,Male,unknown,unknown
20091211LABOS,Adult,Male,unknown,unknown
20100120ALLIL,Adult,Male,Black,unknown
20100205ALDIM,Adolescent,Male,Middle Eastern,unknown
20100210TNINK,Adult,Male,unknown,unknown
20100223CODEL,Adult,Male,White,unknown
20100226WABIT,Adult,Male,White,unknown
20100428VAWOP,Adolescent,Male,Black,unknown
20100518CASOS,Adolescent,Male,unknown,unknown
20100830TNSUB,Adult,Male,White,Yes
20100908MIMUD,Adolescent,Male,Black,unknown
20100921SCSOC,Adolescent,Male,White,unknown
20101001CAALS,unknown,unknown,unknown,unknown
20101008CAKEC,Adult,Male,White,unknown
20101023KSTOT,Young Adult,Male,White,No
20101023KSTOT,Young Adult,Male,White,No
20101129WIMAM,Adolescent,Male,White,No
20101206COAUA,Young Adult,Male,White,No
20110104INCRC,unknown,unknown,unknown,unknown
20110105NEMIO,Adolescent,Male,Other,Yes
20110118CAGAL,Adolescent,Male,Black,Yes
20110202CALOP,Adult,Male,White,No
20110325INMAM,Adolescent,Male,White,Yes
20110330TXWOH,Teen,Male,Black,Yes
20110330TXWOH,Teen,Male,Black,Yes
