incidentid,weapontype
19800926CTBRB,Rifle
19801013ALCET,Handgun
19801031ALHUH,Handgun
19801117TXEAF,Handgun
19801212ALPAB,Handgun
19801212OHLOL,Handgun
19810121OHWIB,Handgun
19810122MDFRB,Handgun
19810210ARLIL,Handgun
19810210CAMAL,Shotgun
19810303INMAI,Handgun
19810328FLDIF,Handgun
19810402OHALC,Handgun
19810407MSPOP,Unknown
19810515LANEN,Handgun
19810901PAWIP,Handgun
19810904NMHOS,Handgun
19810908FLSTW,Handgun
19810913MDABA,Handgun
19811013CTHAH,Handgun
19811209NYGEB,Handgun
19811216TXUNH,Handgun
19811223NYJAB,Handgun
19820205TNHAM,Handgun
19820208MADOD,Handgun
19820209LAJON,Unknown
19820315ORSPS,Handgun
19820317OHLOL,Handgun
19820319NVVAL,Handgun
19820407CODEL,Handgun
19820415MDFOB,Handgun
19820429GARUE,Rifle
19820430FLANA,Handgun
19820527NVGAL,Other
19820910VALAB,Unknown
19820915ARSOP,Handgun
19821101NYELE,Handgun
19821108MICOD,Handgun
19821112MSWIJ,Shotgun
19821206ALHUH,Handgun
19821220MIFID,Handgun
19830118TXJOH,Handgun
19830120MOPAB,Handgun
19830120MOPAB,Handgun
19830128MDWIB,Handgun
19830130TXWEC,Handgun
19830131FLDED,Handgun
19830201TNRIM,Handgun
19830202NMALA,Unknown
19830331ILSAC,Handgun
19830421MOBES,Unknown
19830516NYBRN,Rifle
19830516TXLAD,Handgun
19830518FLNOM,Handgun
19830523OHMAM,Handgun
19830526PAGRJ,Handgun
19830912CAMAC,Multiple Handguns
19830912MIHED,Handgun
19830921MDWAB,Handgun
19830930TXTET,Unknown
19831007CACOL,Handgun
19831022MDCAB,Other
19831108MIHIH,Handgun
19831117ILJAC,Handgun
19831118MDHAB,Handgun
19831202INCRC,Handgun
19831216ILBOR,Handgun
19840105MDLAB,Handgun
19840206KYCEL,Handgun
19840221TXSHH,Handgun
19840224CA49L,Rifle
19840224CA49L,Shotgun
19840224CA49L,Shotgun
19840405LACLC,Handgun
19840420MIPRD,Handgun
19840426NCROW,Handgun
19840515MTCMG,Rifle
19840517IASOP,Handgun
19840517TXBOH,Handgun
19840518CANON,Shotgun
19840522OHCLC,Handgun
19840710MIMUD,Unknown
19840831LABOS,Handgun
19840928TXMIH,Rifle
19840928TXRIN,Unknown
19841021PAWYE,Other
19841022MICED,Handgun
19841024MISOD,Handgun
19841024OHWEC,Handgun
19841030SCPEP,Handgun
19841031LAEAG,Handgun
19841109CTWIN,Handgun
19841126MDMIR,Handgun
19841207MOEDS,Unknown
19850118TXARA,Shotgun
19850121KSGOG,Handgun
19850121KSGOG,Rifle
19850126MASTB,Handgun
19850205CTAIH,Handgun
19850416TXMAA,Handgun
19850516FLPAB,Handgun
19850724TXHIH,Handgun
19850904VAEAR,Handgun
19850909TXWHH,Handgun
19850920TXLAC,Handgun
19850925OHTRT,Handgun
19851008MDLAB,Handgun
19851018MIMUD,Shotgun
19851022OHSOG,Handgun
19851126WASPS,Rifle
19851127ALCHB,Handgun
19851203NHCOC,Shotgun
19851209PAARP,Other
19851210CTPOP,Handgun
19860109NCNOD,Handgun
19860117CAVAL,Handgun
19860129MDLAB,Handgun
19860224LABOS,Handgun
19860306ILTHD,Handgun
19860423FLCHM,Handgun
19860429MOSES,Shotgun
19860509NCPIF,Handgun
19860515GACAA,Rifle
19860517TNMAN,Handgun
19860912CAFAL,Handgun
19860918CABEB,Handgun
19861003CAMOM,Handgun
19861008TXSOD,Handgun
19861204MTFEL,Unknown
19870114CALOL,Handgun
19870123MIRED,Unknown
19870210ARDAD,Rifle 
19870213AZORM,Unknown
19870224NYMON,Handgun
19870302MODED,Handgun
19870306TXRIE,Unknown
19870330CAPAS,Handgun
19870416MIMUD,Handgun
19870430ORGRP,Handgun
19870503INPII,Handgun
19870506ARMAJ,Handgun
19870506FLLET,Handgun
19870513ILOAO,Handgun
19870928ILILL,Handgun
19871014ILDUC,Handgun
19871030NCSOK,Handgun
19871104MISOD,Handgun
19871114FLCLC,Handgun
19871130TXPES,Handgun
19871202FLENJ,Handgun
19871204NYEAN,Handgun
19871215NYGRB,Unknown
19871216TXMAK,Handgun
19880105PASPS,Handgun
19880106FLGAT,Handgun
19880108PACRM,Handgun
19880120LASIR,Handgun
19880129TXREA,Unknown
19880202ALWET,Unknown
19880211FLPIL,Handgun
19880211FLPIL,Handgun
19880226RIBRB,Handgun
19880304MILED,Unknown
19880323CACAS,Unknown
19880324TXTRA,Other
19880505ILMAC,Handgun
19880516FLFOF,Handgun
19880520ILHUW,Handgun
19880520ILHUW,Handgun
19880520ILHUW,Handgun
19880531NYPUB,Unknown
19880602MSWIJ,Handgun
19880617MIJOD,Handgun
19880630HIAIO,Handgun
19880710WISIM,Other
19880711MSLAJ,Handgun
19880831MICED,Multiple Handguns
19880831SCWEA,Handgun
19880902GAGLA,Handgun
19880902NCGAC,Handgun
19880903TXLID,Handgun
19880922ILMOC,Handgun
19880926SCOAG,Handgun
19881003FLMAM,Rifle
19881004FLJEJ,Handgun
19881004LAISB,Unknown
19881005MDEDB,Handgun
19881006ALMOM,Handgun
19881007MDSOB,Handgun
19881007TXDIP,Handgun
19881101FLPAJ,Handgun
19881107UTGLS,Handgun
19881122TXABA,Handgun
19881216VAATV,Handgun
19890105ARHEL,Handgun
19890117CACLS,Handgun
19890117CACLS,Rifle
19890126DCWOW,Handgun
19890210UTTHK,Handgun
19890303INWIG,Handgun
19890426TXAMD,Handgun
19890911AZDYE,Handgun
19890918KYJAM,Shotgun
19891005CALOA,Handgun
19891005CALOA,Shotgun
19891031TXOLD,Other
19891113NYALN,Handgun
19891115TXWOA,Handgun
19891122CACHO,Handgun
19891204LACAS,Unknown
19891205PASEM,Handgun
19891205TXWWD,Handgun
19891212SCCHC,Handgun
19900116RICEP,Unknown
19900220OHTAC,Handgun
19900327NYNEB,Handgun
19900403TXSKD,Handgun
19900504CAMOE,Handgun
19900520TNHIC,Unknown
19900531TXSUF,Handgun
19900824NCMYC,Handgun
19900827NVELL,Handgun
19900827TXWHD,Handgun
19900911TXSAS,Handgun
19900922ALLEB,Handgun
19901002TXWHD,Handgun
19901029INCHC,Handgun
19901030TXNAG,Handgun
19901213LASAS,Unknown
19910108TXRIR,Handgun
19910117TXHOD,Handgun
19910219LABON,Handgun
19910313ALSES,Handgun
19910314SCWOP,Unknown
19910325NCGAC,Unknown
19910411SCNOR,Handgun
19910423CARAC,Unknown
19910423MSHUB,Handgun
19910510OHFRC,Handgun
19910516KSCOK,Rifle
19910521CAROS,Handgun
19910521FLSCP,Handgun
19910722CAWEL,Handgun
19910730CAENC,Handgun
19910913TXMAH,Handgun
19910917ILWOC,Handgun
19910918TXCRC,Handgun
19911002TXSPH,Handgun
19911004CADOL,Handgun
19911004CAROL,Handgun
19911009NYJAB,Handgun
19911011MAMAR,Handgun
19911015NHMOS,Rifle
19911015SCWOW,Handgun
19911015TXGEP,Rifle
19911023TXOAD,Handgun
19911106LAWAN,Handgun
19911111TXYSE,Handgun
19911114TXMIH,Handgun
19911125NYTHB,Handgun
19911226NCWHW,Handgun
19920128LAFRG,Handgun
19920131LAFRG,Handgun
19920206OKDOO,Unknown
19920207VABON,Handgun
19920226NYTHB,Handgun
19920305OHHAO,Handgun
19920331LAOPA,Handgun
19920409FLFOF,Handgun
19920417TXLID,Unknown
19920501CALIO,Rifle
19920501CALIO,Shotgun
19920514CASIN,Handgun
19920514TXHUH,Handgun
19920529CAVEL,Unknown
19920606CAMEM,Handgun
19920911TXPAA,Handgun
19920928CAHIS,Handgun
19920930TXHOH,Shotgun
19921013AZDET,Handgun
19921019NYEVB,Rifle
19921104MIFID,Unknown
19921104MIMAD,Unknown
19921104MIMUD,Handgun
19921110ILSHC,Handgun
19921113TXLAC,Handgun
19921116ALFAB,Handgun
19921120ILTIC,Handgun
19921124ALROM,Handgun
19921130ILORC,Handgun
19921203ILWOC,Handgun
19921214NYWAW,Handgun
19930105NYBRB,Unknown
19930112FLNOM,Handgun
19930118KYEAG,Handgun
19930121CAFAL,Handgun
19930201NYAMA,Handgun
19930201WARER,Unknown
19930204GACLA,Handgun
19930208DCWAW,Handgun
19930208MNMIM,Rifle
19930222CAREL,Handgun
19930226MAGLG,Unknown
19930308VADOD,Handgun
19930318GAHAH,Handgun
19930325MOSUS,Handgun
19930403CAGRS,Shotgun
19930415MAFOA,Shotgun
19930416CAGRS,Handgun
19930416WAMOT,Handgun
19930514TXNII,Handgun
19930524PAUPP,Handgun
19930527LAFRN,Handgun
19930707CADOL,Handgun
19930803NYTHN,Handgun
19930831GAHAA,Handgun
19930901KSJUJ,Handgun
19930902TXROD,Handgun
19930916ILROC,Unknown
19930917ILDOD,Handgun
19930917WYCES,Unknown
19930925DCWEW,Handgun
19930928MSCOG,Handgun
19931012DEDON,Handgun
19931018DCJHW,Handgun
19931101ILSUC,Handgun
19931104CTNEN,Unknown
19931104FLTEJ,Handgun
19931104MSBAB,Unknown
19931111ILRIS,Handgun
19931201WIWAW,Unknown
19931202CTNEN,Unknown
19931208GABES,Handgun
19931215CACHS,Handgun
19931217MICHC,Handgun
19940120CALOH,Unknown
19940121TXKEK,Rifle
19940124SCEAC,Handgun
19940126DCELW,Unknown
19940126DCPAW,Handgun
19940127CAWAS,Unknown
19940131WAWHS,Rifle
19940208MIOSD,Unknown
19940218SCSPS,Handgun
19940301MOKEB,Shotgun
19940303ALENB,Handgun
