incidentid,weapontype
20090211NCSCZ,Handgun
20090217MICED,Handgun
20090220CAJOH,Shotgun
20090223CTBRN,Handgun
20090302SDROS,Other
20090306NCWEF,Unknown
20090310FLRIJ,Handgun
20090311TXCYH,Handgun
20090413CALOL,Handgun
20090501WISHS,Unknown
20090505NYCAC,Shotgun
20090518LALAL,Handgun
20090615CAINS,Handgun
20090624IAAPP,Handgun
20090827NCWEF,Handgun
20090908CTSTS,Handgun
20090916VAVIG,Handgun
20091008NYMAM,Rifle
20091016SCCAC,Handgun
20091030CAWIL,Shotgun
20091106PAHAW,Handgun
20091211LABOS,Handgun
20100120ALLIL,Unknown
20100205ALDIM,Handgun
20100210TNINK,Handgun
20100223CODEL,Rifle
20100226WABIT,Unknown
20100428VAWOP,Handgun
20100518CASOS,Handgun
20100830TNSUB,Handgun
20100908MIMUD,Unknown
20100921SCSOC,Handgun
20101001CAALS,Unknown
20101008CAKEC,Handgun
20101023KSTOT,Handgun
20101129WIMAM,Handgun
20101206COAUA,Handgun
20110104INCRC,Other
20110105NEMIO,Handgun
20110118CAGAL,Handgun
20110202CALOP,Handgun
20110325INMAM,Handgun
20110330TXWOH,Handgun
20110413FLSHA,Handgun
20110419TXBEH,Handgun
20110517WAHOE,Handgun
20110523HIHIP,Handgun
20110923WAISS,Rifle
20110930NCGAC,Handgun
20110930ORWIP,Handgun
20110930ORWIP,Shotgun
20111024NCCAF,Rifle
20111212TXHAE,Rifle
20111228MINOF,Handgun
20120104TXCUB,Handgun
20120110TXNOH,Handgun
20120210NHWAW,Shotgun
20120222WAARB,Handgun
20120227OHCHC,Handgun
20120306FLEPJ,Rifle
20120315ALLEM,Handgun
20120401ARKIR,Handgun
20120525AZWEA,Handgun
20120525NCMAC,Handgun
20120706RINAP,Unknown
20120816TNHAM,Unknown
20120824GABAH,Handgun
20120827MDPEP,Shotgun
20120907ILNON,Handgun
20120926OKSTS,Handgun
20121012NDFAF,Handgun
20121019ILBAC,Unknown
20121210TXSPH,Handgun
20121214CTSAN,Handgun
20121214CTSAN,Handgun
20121214CTSAN,Rifle
20121214CTSAN,Shotgun
20130107FLAPF,Unknown
20130110CATAT,Shotgun
20130111MIOSD,Unknown
20130131GAPRA,Handgun
20130201MIMAD,Handgun
20130213CAHIS,Handgun
20130227GAGRA,Handgun
20130321MIDAS,Handgun
20130416TXTET,Handgun
20130429OHLAC,Handgun
20130430NMTUT,Rifle
20130513ALOSB,Handgun
20130523FLREH,Handgun
20130618NCHIC,Multiple Handguns
20130619FLALW,Handgun
20130815TNNOC,Handgun
20130820GAROD,Rifle
20130822TNWEM,Handgun
20130823MSNOS,Unknown
20130830NCCAW,Handgun
20130927ILROC,Handgun
20130928MENEG,Unknown
20131002NHWIS,Other
20131004FLAGP,Unknown
20131015TXLAA,Handgun
20131021NVSPS,Handgun
20131023CANEC,Rifle
20131101IAALA,Unknown
20131103GASTL,Unknown
20131113PABRP,Handgun
20131204FLWEW,Handgun
20131213COARC,Shotgun
20131219CAEDF,Handgun
20140109TNLIJ,Handgun
20140113CTHIN,Handgun
20140114LASTB,Handgun
20140114NMBER,Shotgun
20140114PAKIL,Handgun
20140117PADEP,Handgun
20140127ILREC,Handgun
20140128HIPRH,Handgun
20140131AZCEP,Unknown
20140131IANOD,Unknown
20140207ORBEB,Rifle
20140210NCSAS,Handgun
20140211OHCHL,Handgun
20140220MIRAR,Handgun
20140307LAMAT,Handgun
20140312FLACM,Handgun
20140325GABEC,Handgun
20140403NJUNN,Unknown
20140409NCDHG,Handgun
20140410OHLIC,Handgun
20140411MIEAD,Unknown
20140421INSTG,Unknown
20140421UTPRP,Handgun
20140503WAHOE,Unknown
20140514CAJOR,Unknown
20140521WICLM,Handgun
20140610ORRET,Handgun
20140610ORRET,Rifle
20140623MOKEB,Handgun
20140813MDHEF,Unknown
20140814VASAN,Shotgun
20140909FLSTM,Unknown
20140910FLGRL,Handgun
20140911UTWET,Handgun
20140919IANOD,Shotgun
20140925NHWEM,Other
20140930KYFEL,Handgun
20140930NCALA,Handgun
20141003GALAF,Handgun
20141021TNAMM,Handgun
20141024GALAA,Handgun
20141024WAMAM,Handgun
20141120FLMIM,Handgun
20141212ORROP,Handgun
20141216PASUP,Unknown
20141217MEBEW,Handgun
20141217MIGOW,Handgun
20150115WIWIM,Handgun
20150116FLVAO,Handgun
20150120ALWIM,Handgun
20150122SCROH,Handgun
20150126MNHAR,Handgun
20150204MDFRF,Handgun
20150215ARLAL,Unknown
20150215CATEM,Unknown
20150330MOPEU,Unknown
20150417TXSES,Unknown
20150422NVRUL,Handgun
20150427WANOL,Handgun
20150428MDDRW,Handgun
20150504OHWIC,Unknown
20150505GACOC,Handgun
20150512AZCOT,Handgun
20150512FLUNJ,Handgun
20150520TXROR,Unknown
20150524MISOF,Unknown
20150527FLEVE,Handgun
20150604NCSOF,Multiple Handguns
20150623NEFOF,Handgun
20150627CTSAH,Unknown
20150629TXJOS,Handgun
20150705TXCOD,Handgun
20150724TXELC,Handgun
20150808TXPAP,Handgun
20150823TXWIR,Handgun
20150825GAWSA,Handgun
20150903ORNEN,Unknown
20150911LANOL,Unknown
20150922NCCES,Handgun
20150930SDHAH,Handgun
20151015TXKAS,Handgun
20151024TXEDS,Unknown
20151105GAVEM,Handgun
20151111ARSUS,Handgun
20151120FLNAM,Handgun
20151204KSWEW,Handgun
20160112DECED,Handgun
20160113ARHAB,Handgun
20160120INNOI,Handgun
20160122INLAI,Handgun
20160129PABEP,Handgun
20160209MIMUM,Handgun
20160212AZING,Handgun
20160217FLROH,Handgun
20160217PACHC,Handgun
20160226TXPAP,Handgun
20160229OHMAM,Handgun
20160315ALHUB,Handgun
20160423WIANA,Rifle
20160502TXKID,Handgun
20160504COEAP,Handgun
20160505MDHIB,Handgun
20160506FLOSP,Handgun
20160506IDROT,Handgun
20160513SCSOG,Handgun
20160515KSAUA,Handgun
20160608MAJED,Unknown
20160616ILMCC,Unknown
20160630CAWOH,Unknown
20160725MOAVA,Handgun
20160817OHWEC,Handgun
20160819FLSOM,Handgun
20160902OKMCT,Handgun
20160907MIDED,Unknown
20160908TXALA,Handgun
20160909IACEC,Handgun
20160909PASMY,Handgun
20160926MSTAJ,Handgun
20160927OHELC,Rifle
20160928SCTOT,Handgun
20160930ILCHC,Unknown
20161006TXDUF,Unknown
20161011ALVIM,Unknown
20161013OHLIC,Multiple Handguns
20161015GABEA,Unknown
20161018CAJUS,Unknown
20161025UTUNS,Handgun
20161102COGRG,Unknown
20161103COBEB,Unknown
20161111MIBAA,Handgun
20161117MNCRS,Handgun
20161201UTMUB,Shotgun
20161209MOBAS,Handgun
20161209NVHUR,Handgun
20170101DELAH,Handgun
20170110ALALA,Handgun
20170117FLFRE,Unknown
20170120OHWEW,Shotgun
20170127SCSOA,Handgun
20170206LASCB,Handgun
20170218MNMAM,Handgun
20170316ALROM,Handgun
20170321CAKIK,Handgun
20170328PALIP,Handgun
20170410CANOS,Handgun
20170415OKBOT,Unknown
20170515LAMOL,Handgun
20170523TXKEK,Handgun
20170524ALGRG,Handgun
20170524NEMCO,Unknown
20170526OKMCT,Handgun
20170616ILWAC,Handgun
20170622SCWIF,Handgun
20170719WIHIM,Handgun
20170721UTSPS,Handgun
20170801GABAV,Handgun
20170817GALIL,Unknown
20170831CAARS,Handgun
20170908ARNON,Unknown
20170908OHCOC,Handgun
20170913WAFRR,Handgun
20170913WAFRR,Rifle
20170920ILMAM,Handgun
20170928KYSOL,Unknown
20170929CASUL,Other
20170929MOLEL,Unknown
20170930PAPUC,Handgun
20171012NCCHC,Handgun
20171014NCKEK,Handgun
20171020OHSTT,Handgun
20171027NYPRU,Unknown
20171103MIPAL,Handgun
20171109GABEC,Handgun
20171110GALAM,Handgun
20171114CARAR,Handgun
20171114CARAR,Handgun
20171114CARAR,Rifle
20171114CARAR,Rifle
20171114FLLAM,Handgun
20171117TNNOJ,Unknown
20171123COMAD,Unknown
20171128CABOS,Shotgun
20171129OHBAL,Handgun
20171130VASAV,Unknown
20171207NMAZA,Handgun
20171209ILCHC,Handgun
20171211NCHIH,Handgun
20171212TXSAP,Unknown
20171214TXELD,Handgun
20171219MIBEB,Handgun
20171227CALIL,Handgun
20171231LAEDA,Unknown
20171231WAPIM,Unknown
20180104WANES,Unknown
20180105IAFOF,Other
20180109AZCOS,Handgun
20180116VTMOM,Handgun
20180122LANEN,Unknown
20180122TXITI,Handgun
20180123KYMAB,Handgun
20180125ALMUM,Handgun
20180126MIDED,Unknown
20180131PALIP,Unknown
20180201CASAL,Handgun
20180205MDOXO,Handgun
20180205MNHAM,Handgun
20180208NYTHN,Handgun
20180209TNPEN,Handgun
20180214FLMAP,Rifle
20180215FLNOC,Handgun
20180220OHJAM,Rifle
20180226WAOAT,Handgun
20180228GADAD,Handgun
20180305MOKIC,Unknown
20180307ALHUB,Handgun
20180309KYFRL,Handgun
20180313CASES,Handgun
20180313VAGEA,Handgun
20180316MTBIM,Handgun
20180319VADOP,Unknown
20180320MDGRG,Handgun
20180328MSEUE,Handgun
20180329KYJOE,Handgun
20180409NYGLG,Handgun
20180412MORAR,Handgun
20180419MIJAJ,Handgun
20180420FLFOO,Shotgun
20180423GABEA,Handgun
20180503SDENW,Unknown
20180503TNWAW,Unknown
20180505MIFOF,Handgun
20180511CAHIP,Rifle
20180516ILDID,Rifle
20180517MOCEK,Handgun
20180518GAMOA,Handgun
20180518TXSAS,Handgun
20180518TXSAS,Shotgun
20180521GABEG,Unknown
20180525INNON,Handgun
20180525INNON,Handgun
20180601TXMCM,Unknown
20180615OHVAB,Unknown
20180617ORGRP,Unknown
20180621TXSKD,Unknown
20180624MTSEM,Handgun
20180625OHFUS,Handgun
20180701TNRAM,Unknown
20180703KSSUO,Handgun
20180711OHMIM,Unknown
20180717WVHUH,Handgun
20180719WAWEY,Unknown
20180804MDEDE,Unknown
20180809NJLAM,Unknown
20180811TNANN,Handgun
20180817FLPAW,Handgun
20180823ALALM,Handgun
20180824FLRAJ,Handgun
20180824ILMEC,Unknown
20180828COCOD,Handgun
20180829DETOD,Unknown
20180830MIOTG,unknown
20180830NCVIC,Handgun
20180831CABAS,Handgun
20180831IANOE,Handgun
20180903NYLUN,Handgun
20180905RIPRP,Handgun
20180907IAHED,Unknown
20180909CAGIG,Handgun
20180910ILCHC,Handgun
20180910TNFAM,Unknown
20180911NVCAL,Handgun
20180914FLBOB,Handgun
20180914WAMAE,Handgun
20180917ALBLH,Handgun
20180920CACHL,Handgun
20180920CAPOP,Unknown
20180924GAAPB,Handgun
20180924NCLAC,Handgun
20180924PACEP,Handgun
20180926MDMAB,Handgun
20180927TXHEC,Handgun
20180928SDCHC,Handgun
20181002ARCHL,Handgun
20181003AKDEA,Handgun
20181004ORJAP,Handgun
20181005TNHAB,Handgun
20181005VALAN,Handgun
20181007VAVAH,Handgun
20181012MIBAB,Unknown
20181013TNMCN,Unknown
20181020GASHS,Handgun
20181022CTDUB,Handgun
20181023NHGOM,Other
20181025MICOD,Unknown
20181029NCBUM,Handgun
20181104KYCRL,Handgun
20181105SCACC,Other
20181108CACLS,Unknown
20181109GAGAM,Handgun
20181112MDEAE,Handgun
20181120VASIP,Handgun
20181121MIPEP,Other
20181122TXSKD,Handgun
20181122WAMOD,Handgun
20181124OHAFC,Handgun
20181128PASTP,Unknown
20181210NYJEJ,Handgun
20181211KYCAC,Other
20181213INDER,Handgun
20181213INDER,Rifle
20181214MOWIK,Handgun
20181218DEAIG,Handgun
20190107CACEB,Unknown
20190111ORCAE,Handgun
20190118ALCET,Handgun
20190118MOHAS,Handgun
20190118NCSHD,Unknown
20190119KSLAO,Shotgun
20190123LASOS,Unknown
20190125ALDAM,Handgun
20190125TNMAM,Other
20190130GAMIL,Handgun
20190131TNMAM,Other
20190131TXATA,Handgun
20190205MNMIM,Handgun
20190208MDFRB,Handgun
20190212MOCEK,Handgun
20190214NMV.R,Handgun
20190217COEAA,Handgun
20190226ALROM,Handgun
20190301KSHIM,Handgun
20190313FLLAO,Handgun
20190322ALBLB,Handgun
20190327MSSVH,Handgun
20190401ARPRP,Handgun
20190403COAUA,Handgun
20190403FLSAJ,Unknown
20190405WISTM,Handgun
20190407MAHOL,Unknown
20190410TXROH,Unknown
20190417ILWAL,Handgun
20190424ARCOC,Handgun
20190425GAWYS,Handgun
20190426GACRF,Handgun
20190430FLWEW,Handgun
20190430VACDW,Handgun
20190507COSTH,Multiple Handguns
20190508ILSEC,Handgun
20190517FLTEJ,Handgun
20190517ORPAP,Shotgun
20190530DCHEW,Handgun
20190606ILGEC,Handgun
20190610ILMEW,Handgun
20190612DCHEW,Handgun
20190612PAJEE,Handgun
20190613NJTAW,Handgun
20190621MICAF,Handgun
20190629COJAC,Handgun
20190701NYSCN,Handgun
20190702AKWIA,Handgun
20190711CTBUH,Unknown
20190719CAMOS,Other
20190808ALBLM,Handgun
20190815TNEAN,Handgun
20190817GALAA,Handgun
20190820PASAC,Handgun
20190823GAPEC,Unknown
20190823MOPAS,Handgun
20190823MOROS,Unknown
20190824PAWIP,Handgun
20190827CAHOL,Unknown
20190827NYROR,Handgun
20190830ALLAM,Handgun
20190830NCKIK,Handgun
20190830OHCET,Handgun
20190902MDNOB,Unknown
20190906ALCEC,Unknown
20190906PAMCJ,Handgun
20190906PAWEM,Unknown
20190910SCSOA,Handgun
20190912KSMAM,Unknown
20190913UTGRW,Handgun
20190913VAETN,Handgun
20190914TXEAF,Handgun
20190916ILILK,Unknown
20190916VAPHH,Handgun
20190920PASIP,Handgun
20190927NCZEC,Handgun
20191002GASOA,Handgun
20191008COSHS,Handgun
20191008TXWEH,Unknown
20191009MAGRL,Other
20191011LARAR,Handgun
20191015LAGEN,Handgun
20191018GACRS,Handgun
20191018OHWOT,Unknown
20191022CARIS,Handgun
20191027MDLAL,Handgun
20191029NYNEN,Handgun
20191108CAEDS,Unknown
20191108TXROD,Unknown
20191111MDACB,Handgun
20191113CAESL,Unknown
20191114CASAS,Handgun
20191115NJPLP,Handgun
20191121ILRIO,Other
20191124CASEU,Unknown
20191125ILCAC,Handgun
20191126WASAV,Handgun
20191201ALMOM,Handgun
20191202WIWAW,Handgun
20191203WIOSO,Handgun
20191203WITHM,Other
20191204NMPIL,Handgun
20191210ALDED,Handgun
20191210KSJCK,Unknown
20191210NJSAJ,Unknown
20191211INEVE,Other
20191211KSCHT,Other
20191213VAMAN,Handgun
20191216CTCAN,Handgun
20191219FLLEN,Unknown
20191221LAWES,Handgun
20191228MOMAS,Unknown
20200107WASOK,Other
20200108FLGLB,Handgun
20200110MSMCJ,Other
20200111TXELD,Handgun
20200114TXBEH,Handgun
20200114TXPOM,Handgun
20200117MITHH,Handgun
20200117SCCAS,Unknown
20200119TXNOF,Multiple Handguns
20200121ILLIC,Handgun
20200121NEPAL,Other
20200123CAOXO,Handgun
20200127WAROY,Handgun
20200128NYMAQ,Handgun
20200128TNWHM,Handgun
20200128TXLUL,Handgun
20200131CADEA,Handgun
20200201TXHIH,Handgun
20200203FLGEJ,Handgun
20200204LABEA,Rifle
20200205NHSEC,Handgun
20200212MOJOF,Handgun
20200215DCDUW,Unknown
20200221NMCEA,Unknown
20200302TXNOF,Handgun
20200305FLSAW,Handgun
20200310PASHN,Unknown
20200313TNPIR,Handgun
20200315TXATH,Handgun
20200318LABOS,Handgun
20200324LAROM,Handgun
20200330GANAS,Handgun
20200413NEMOO,Handgun
20200505CAGOV,Unknown
20200515NCSTC,Handgun
20200519VAWEM,Handgun
20200522OHMIC,Unknown
20200525ALORM,Handgun
20200527OHLUC,Handgun
20200603IAGAD,Unknown
20200616FLTOM,Unknown
20200701ILFRP,Handgun
20200704INLAM,Handgun
20200714MIWID,Handgun
20200721SCBRO,Handgun
20200727AZCAO,Handgun
20200804PAKEP,Handgun
20200729ILCOC,Handgun
20200817MIABG,Handgun
20200825MOWEC,Handgun
19850418TNSOS,Handgun
20190522OHSAC,Handgun
20200830TXLOD,Handgun
20200630OHLAW,Rifle
20200915UTVIB,Shotgun
20200915SCYOR,Other
20200921CAPLP,Rifle
20200909PAWEW,Handgun
20200923FLHIJ,Other
20200923PAWIW,Handgun
20200924ILMCS,Other
20200924CAWAC,multiple Handguns
20200924CAWAC,Multiple Rifles
20200925ILROR,Handgun
20190127NVRER,Handgun
20150521FLDUJ,Handgun
20190918MNFOC,Handgun
20130131GAPRA,Handgun
20201005OKSOM,Other
20201005ARKIH,Handgun
20201009FLJEJ,Handgun
20201012TXNOD,Handgun
20161216FLSAJ,Other
20190327FLMAJ,Other
20190927CADER,multiple Handguns
20201012MNSHS,Shotgun
20201014PABRB,Other
20201014WAWAS,multiple Handguns
20201002PAMAE,Other
20201020ARJAP,Handgun
20160928TNSYP,Handgun
20201113NCLIL,Handgun
20201116TNWIM,Handgun
20201117TXWEW,Handgun
20201026GARIR,Handgun
20201117MTGRG,Other
20201124NCHEH,Handgun
20201125KSABG,Handgun
20201211VATAY,Handgun
20201229WAROS,Handgun
20210121OHEAC,Handgun
20210121OKLOG,Handgun
20210127FLHOH,Other
20210201MIMUD,Handgun
19900906GASOC,Rifle
19900906GASOC,Shotgun
19900906GASOC,Handgun
20201225FLYOP,Handgun
20210210NJSCP,unknown
20210210TXFOF,unknown
20210208MISCG,unknown
20210205MDBEM,unknown
20210114MDHIW,unknown
20210110ILSOS,unknown
20210210LASTS,unknown
20210214MNROM,unknown
20210127MSHAH,Handgun
20210216NCTHS,Other
20210217TNKNK,unknown
20210219ILLIR,unknown
20210222CAHOV,unknown
20210224WAGAY,Handgun
20210226LAGEN,Handgun
20210301ARWAP,Handgun
20210308SCEDC,Handgun
20210309TNSAK,Handgun
20210309OHBIC,unknown
20210311OHCIC,unknown
20210313TXLEA,Handgun
20210318KYGRL,Handgun
20210319WVSPM,Other
20210324ORFOS,Handgun
20180803IALIO,Handgun
20210326MOCAS,Handgun
20210327MAPEC,unknown
20210401OKCLC,Other
20210401ALSES,Handgun
19790226CABAB,Handgun
20210104NYPEJ,Handgun
20210407ILPEP,Handgun
20210315INMEM,multiple Handguns
20210406ILBAC,Other
20210412TNAUK,unknown
20210411INBIH,Handgun
20210412CASAS,Rifle
20210412CASAS,Handgun
20210413TNMAC,Handgun
20170415ORMEP,Handgun
20210418OHWED,Handgun
20210420TXHAH,Handgun
20210426MNPLP,Handgun
20210427TNLAM,Handgun
20210427DESMS,Handgun
20210429NYURB,multiple Handguns
20210429CAVIV,Handgun
20210430INMAI,Handgun
20210501MNBES,multiple Handguns
20210502ILCHC,multiple Handguns
20210506IDRIR,Handgun
19890209IDRIR,Handgun
20210506SCFOC,Rifle
20210505MICRC,Handgun
20210505SCWAW,Handgun
20210514CASAS,Handgun
20210511CAVEL,Other
20210517TNAUM,Handgun
20210517MDLOC,multiple Handguns
20210511NYPSB,Handgun
20210525NJPAP,Rifle
20210601ILLIC,Handgun
20210606VADRA,multiple Handguns
20210607TXEAF,Handgun
20210608KSHAK,unknown
20210609TXNOH,Handgun
20210609VAWIR,Handgun
20210610CTHOW,multiple Handguns
20210612MOMCF,Handgun
20210613PAWIP,Handgun
20210613PAPAC,unknown
20210614TXEAF,Handgun
20210614NCRJW,Handgun
20210614NCRJW,Rifle
20210614NCROR,multiple Handguns
20210620CAGRM,Handgun
20210624ILABR,unknown
20210608PAMUS,Handgun
20210628CASLF,unknown
20210704NYDRR,unknown
20210708ILBEC,Handgun
20210709KSCAW,Handgun
20210718ARFOL,Handgun
20210719TXCAC,Other
20210721ILTHC,unknown
20210727WATYS,Handgun
20210517TXBRE,Other
20210806LASTH,Handgun
20210807ORGIP,unknown
20210805GACHD,unknown
20210811COMAC,unknown
20210810OHEAC,Handgun
20210812CANOS,Handgun
20210812GALIL,Handgun
20210813NMWAA,Handgun
20210811CAOAO,Handgun
20210813GACAS,Handgun
20210814ILMAC,unknown
20180425NMHIA,Handgun
20210814SCDAH,Other
20210818SCORO,Handgun
20210818SCORO,Handgun
20210815VAROD,Handgun
20210820NEMIO,unknown
20210820CACEF,Handgun
20210822ILWER,Handgun
20170813NYHUH,unknown
20210901NCMTW,Handgun
20210830NCNEW,Handgun
20210827INHAH,Handgun
20210826OHNOT,Handgun
20210826NYHAH,Handgun
20210828CASAS,Handgun
20210902ARLIL,Handgun
20210907PAHAH,Handgun
20210907TNLAL,Handgun
20210907MAOMG,Other
20210908MNPRB,multiple Handguns
20210909ILCHC,Handgun
20210909MITRF,Handgun
20210902INWEG,Handgun
20210903CAMTH,Handgun
20210909NCSHE,unknown
20210910CONOA,Handgun
20210910CASTP,Other
20210903NVDEL,Handgun
20210901ILFRC,Handgun
20210826WAAKS,multiple Handguns
20210827KYAPO,Handgun
20030410CAWAW,Handgun
20210915KYMAL,Handgun
20210915ILCEC,Handgun
20210908ILCEC,Handgun
20210916WIORM,Handgun
20210916UTPRP,Other
20210917NCPAW,Handgun
20210917VAHEH,Handgun
20210917PAWEP,Handgun
20210917GASWS,Handgun
20210918COWIC,Handgun
20210917TNAUK,Handgun
20210914MOMCH,multiple Handguns
20210914TNLAL,Handgun
20210913SCEDC,Handgun
20210902CASAL,Handgun
20210920OHEAC,multiple Handguns
20210920OHEAC,Handgun
20210921GAFRA,Handgun
20210921PAVAP,Handgun
20210920VAHEN,Handgun
20210921OHMIM,Other
20210921KSEAW,Handgun
20210922NYSOB,Handgun
20210922CTLIN,unknown
20210921FLLAL,Other
20210915VASPS,Other
20210924MDWIB,Handgun
20210924ALFAF,unknown
20210924VAESE,Handgun
20210903NCJUC,Handgun
20210903CABUB,Handgun
20210927ILCAC,Other
20210902GAWOS,Handgun
20210902NMALA,multiple Handguns
20210928MESOS,Handgun
20210902CASAL,Handgun
20210830FLOKW,Other
20210830MDNEO,Handgun
20210830NJWEN,Handgun
20210929OHSHS,Handgun
20210924TNSTS,Handgun
20210924TNSTS,Rifle
20210930TNCUM,Handgun
20210827VAFRW,Handgun
20210930MSNEN,Handgun
20190809NJWEN,Handgun
20211001TXYEH,Rifle
20211001INBEI,Handgun
20211001NCSEF,Handgun
20211001NJCHC,Handgun
20211001NCNOD,Handgun
20211004PASCP,Handgun
20211004PASCP,Rifle
20211004OHWOT,Handgun
20211005NDHEH,Handgun
20211005NCGAC,Handgun
20210923IDRIR,Handgun
20211004ILLAC,Handgun
20211006TXTIA,Handgun
20211007PAANP,unknown
20211007DCWAW,Handgun
20211007TXEAW,Rifle
20211012ILWEC,Handgun
20211012ARLIL,unknown
20211007NCEAD,Handgun
20211012OKUNT,Other
20211013ILMCC,unknown
20211008OKCOC,unknown
20211012MIELK,Handgun
20211015ALWIM,Handgun
20211014MEREP,unknown
20211013PACHD,Other
20211015CAKEF,Handgun
20211018PALIP,Handgun
20211011ORROP,Handgun
20211017ARROR,Rifle
20211021GABES,unknown
20211022PAPHP,Handgun
20211021NYPSB,Handgun
20211026MSCAN,Shotgun
20211026ILWIC,Handgun
20211027SCCAS,Handgun
20211030PASTM,Handgun
19920530DCARW,Handgun
20211108NYTHB,Handgun
19930912ALFAF,Handgun
19901110TXJUD,Handgun
20211109NMMEL,Handgun
20211106FLOVO,Handgun
19890901VASAV,multiple Handguns
20211110NYITI,unknown
20211115NYPOP,Handgun
20211119COHIA,multiple Handguns
20211116FLJAJ,unknown
20211119MDGIB,unknown
20211116NYPSB,Handgun
20211124ILTHH,unknown
20211123OHCLC,Handgun
20211126CAWES,Handgun
20211129AZCHP,Handgun
20211130MIOXO,Handgun
20211125SCCEP,unknown
20211202WAGAS,Handgun
20211201TXSAP,Handgun
20211130TNHUH,Handgun
20211130CALOL,Other
20211102NMHIH,Other
20211206CAWIW,Multiple Rifles
20211203ARBLB,Handgun
20211208MOEWK,Handgun
20211207ILHAC,Handgun
20211208KYSTL,unknown
20211206NYSUS,Handgun
20211210NCJEC,unknown
20211209NYGRN,Handgun
20211210OHCAC,Handgun
20211211GAJOG,Handgun
20211211FLEDL,Handgun
20211213NCWEC,Handgun
20211212NYSCR,Handgun
20211213FLEAO,Handgun
20211214VAMEN,Handgun
20211214WISOM,Handgun
20211129ILWER,Handgun
20211216SCEAC,Handgun
20211216NYPSB,Handgun
20200419NCABR,Handgun
20211217TXWOD,Other
19930108PACRM,Handgun
19930203SCGAC,Handgun
19930203SCLEL,Handgun
19920117SCGRG,Handgun
20211229NCCAS,Handgun
19920930CAPAL,Handgun
20220103WACHP,Handgun
20220104ILAUR,multiple Handguns
20220103OHCOC,unknown
20220106CAFLS,Handgun
20220111NMVAA,unknown
20170127ILSCN,Handgun
20220117TXPYH,multiple Handguns
20220119FLSES,Handgun
20220119VAMAP,Handgun
20220119VAMAP,Handgun
20220119DCANW,Handgun
20220121MDMAR,Handgun
20220127TXMOH,Handgun
20220126PABAP,Handgun
20220114MDGAG,Rifle
20220129WIBEB,Handgun
20220124NVSUL,unknown
20220121GAMCA,unknown
20220201MNSOR,unknown
20220201WIRUM,Handgun
20220201WIRUM,Handgun
20220128LACAM,Handgun
20220202KYLOR,unknown
20220204GASOD,Handgun
20220204ALWEB,Handgun
20220208MDCAC,Handgun
20220208NYMOM,Handgun
20220209NYMCB,Handgun
20220209MNMIM,unknown
20220203NCSPS,unknown
20220211DCEAW,Handgun
20220201ILALC,Handgun
20220217WAMCG,Handgun
20220219VACAC,unknown
20220218MATET,Other
20220220OKWIW,Handgun
20220221MDJOH,Handgun
20220220MSMCM,unknown
20220222COLIP,Handgun
20220225NMWEA,Handgun
20220225ALSOH,Handgun
20220223VAWOW,Handgun
20220222TXALH,Handgun
20220214FLLAL,Handgun
20220227DCDUW,Handgun
20220228NYBOB,Handgun
20220303MIJWL,Handgun
20220304KSOLO,Handgun
20220307IAEAD,multiple Handguns
20220309TXNOH,Handgun
20220309FLNOM,Handgun
20220309FLNOM,Rifle
20220310MDCOL,Handgun
20220309NMESE,Other
20220310COROH,Other
20220311OHFAP,Handgun
20220311CADER,Handgun
20220311OHMAM,unknown
20220311WIJER,Handgun
20220310TNHAM,Handgun
20220315WAEIY,multiple Handguns
20220315MATEB,multiple Handguns
20220315MDPAB,Handgun
20220314CAKRP,Handgun
20220313PANEP,unknown
20220313PANEP,unknown
20220316CALOR,Handgun
20220317AKREW,Handgun
20220318ILBAB,Other
20220319ALCEL,Handgun
20220315GAFOF,Handgun
20220321MSLEP,unknown
20220321AZDES,Handgun
20220322VAJAR,Handgun
20220321MIMAK,Handgun
20220322TXWOD,Handgun
20220318RICEP,Other
20220322FLNEN,Other
20220324VARIW,Multiple Rifles
20220325TXROR,Other
20220325TNBRM,Handgun
20220325UTHIS,Handgun
20220325UTHIS,Other
20220328NCOAC,Handgun
20220329NVWEL,Handgun
20220330GABOA,Handgun
20220331PAACP,Handgun
20220328TXNOF,Handgun
20220329VALUR,Handgun
20220330AZKIK,Handgun
20220405PAERE,Handgun
20220406WVRIR,Handgun
20220406ORROP,Handgun
20220410MALYL,Handgun
20220406WASTM,Other
20220411ARPIP,Handgun
20220413MISHS,Other
20220414MSNEP,Other
20220415VAGAW,Handgun
20220403INBLB,multiple Handguns
20220416IAMED,Handgun
20220421NDMOM,Handgun
20220422ORHOS,Handgun
20220422DCEDW,Multiple Rifles
20220422DCEDW,multiple Handguns
20220424MOHAF,Handgun
20220425WIWIM,multiple Handguns
20220426MIASI,Handgun
20220426GASOM,Handgun
20220426GASOM,Other
20220427TXMOS,Handgun
20220427INCOS,Other
20220422CAMOR,Rifle
20220501OHHAC,Handgun
20220501VALOM,Handgun
20220430PAMCJ,Handgun
20220503CAARS,unknown
20220505OHLOL,Handgun
20220505ALDOD,Other
20220509GARIS,Handgun
20220509NYEDS,Handgun
20220511FLJAJ,unknown
20220512TXHEH,unknown
20220513FLALW,Handgun
20220512ARHOH,Handgun
20220513GASOM,unknown
20220515ILMEP,Handgun
20220516TXMEM,Handgun
20220517ILWAC,Handgun
