Incident_ID,Year,Quarter,School,City,State,Targets,Bullied,Domestic_Violence,Gang_Related,Preplanned
19911002TXSPH,1991,Fall,Spring Woods High School (bus),Houston,TX,Random Shooting,0,0,0,0
19910918TXCRC,1991,Fall,Crosby High School,Crosby,TX,Victims Targeted,0,0,0,0
19910917ILWOC,1991,Fall,Woodson High School,Chicago,IL,Random Shooting,0,0,1,0
19910913TXMAH,1991,Fall,Madison High School,Houston,TX,Random Shooting,0,0,1,0
19910730CAENC,1991,Summer,Enterprise Middle School,Compton,CA,Victims Targeted,0,0,1,0
19910722CAWEL,1991,Summer,Westchester High School,Los Angeles,CA,Victims Targeted,0,0,1,0
19910521FLSCP,1991,Spring,School of Choice,Pahokee,FL,Both,0,0,0,0
19910521CAROS,1991,Spring,Robert A. Millikan Junior High School,Sherman Oaks,CA,Victims Targeted,0,0,1,0
19910516KSCOK,1991,Spring,Coronado Middle School,Kansas City,KS,null,0,0,1,0
19910510OHFRC,1991,Spring,Franklin Alternative Middle School,Columbus,OH,Victims Targeted,0,0,unknown,0
19910423MSHUB,1991,Spring,Humphrey's County High School,Belzoni,MS,Random Shooting,0,0,0,0
19910423CARAC,1991,Spring,Ralph J. Bunche Middle School,Compton,CA,Random Shooting,0,0,1,0
19910411SCNOR,1991,Spring,Northwest High School,Rock Hill,SC,Victims Targeted,0,0,0,0
19910325NCGAC,1991,Spring,Garinger High School,Charlotte,NC,Victims Targeted,0,0,unknown,0
19910314SCWOP,1991,Spring,Woodmont High School,Piedmont,SC,Both,0,0,0,0
19910313ALSES,1991,Spring,Selma High School,Selma,AL,Both,0,0,0,0
19910219LABON,1991,Winter,Booker T. Washington High School,New Orleans,LA,Both,0,0,0,0
19910117TXHOD,1991,Winter,Hood Middle School,Dallas,TX,Random Shooting,0,0,1,0
19910108TXRIR,1991,Winter,Richardson High School,Richardson,TX,Victims Targeted,0,0,0,0
19901213LASAS,1990,Winter,Salmen High School,Slidell,LA,Victims Targeted,0,0,1,0
19901110TXJUD,1990,Fall,Justin Kimball High School,Dallas,TX,Both,0,0,unknown,0
19901030TXNAG,1990,Fall,Naaman Forest High School,Garland,TX,Victims Targeted,0,0,0,0
19901029INCHC,1990,Fall,Charlestown High School,Charlestown,IN,Neither,0,0,0,0
19901002TXWHD,1990,Fall,W H Adamson High School,Dallas,TX,Random Shooting,0,0,unknown,0
19900922ALLEB,1990,Fall,Legion Field Statium (high school game),Birmingham,AL,null,0,0,unknown,0
19900911TXSAS,1990,Fall,Sam Houston High School,San Antonio,TX,Victims Targeted,0,0,1,0
19900906GASOC,1990,Fall,South Forsyth Middle School - High School,Cumming,GA,Both,,0,0,1
19900827TXWHD,1990,Summer,W H Adamson High School,Dallas,TX,Victims Targeted,0,0,1,0
19900827NVELL,1990,Summer,Eldorado High School,Las Vegas,NV,Victims Targeted,0,0,1,0
19900824NCMYC,1990,Summer,Myers Park High School,Charlotte,NC,null,0,0,unknown,0
19900531TXSUF,1990,Spring,Sunrise Elementary School,Fort Worth,TX,Random Shooting,0,0,0,0
19900520TNHIC,1990,Spring,Hickman County High School,Centerville,TN,Victims Targeted,0,0,0,0
19900504CAMOE,1990,Spring,Mount Pleasant High School,East San Jose,CA,Both,0,0,0,0
19900403TXSKD,1990,Spring,Skyline High School,Dallas,TX,Victims Targeted,0,0,0,0
19900327NYNEB,1990,Spring,New Utrecht High School,Brooklyn,NY,Victims Targeted,0,0,0,0
19900220OHTAC,1990,Winter,Taft High School,Cincinnati,OH,Both,0,0,0,0
19900116RICEP,1990,Winter,Central High School,Providence,RI,Random Shooting,1,0,0,0
19891212SCCHC,1989,Winter,Chester High School,Chester,SC,Victims Targeted,0,0,0,0
19891205TXWWD,1989,Winter,W W Samuell High School,Dallas,TX,Both,0,0,1,0
19891205PASEM,1989,Winter,Serra Catholic High School bus,McKeesport,PA,Victims Targeted,0,0,0,0
19891204LACAS,1989,Winter,Caddo Magnet High School,Shreveport,LA,Victims Targeted,0,0,0,0
19891122CACHO,1989,Fall,Channel Islands High School,Oxnard,CA,Victims Targeted,0,0,1,0
19891115TXWOA,1989,Fall,Workman Junior High School,Arlington,TX,Victims Targeted,0,0,0,1
19891113NYALN,1989,Fall,Alfred E. Smith High School,New York,NY,Random Shooting,0,0,0,0
19891031TXOLD,1989,Fall,Oliver Wendell Holmes Middle School,Dallas,TX,Random Shooting,0,0,0,0
19891005CALOA,1989,Fall,Loara High School,Anaheim,CA,Victims Targeted,0,0,0,1
19890918KYJAM,1989,Fall,Jackson County High School,McKee,KY,Random Shooting,1,0,0,0
19890911AZDYE,1989,Fall,Dysart High School,El Mirage,AZ,Random Shooting,0,0,0,0
19890901VASAV,1989,Fall,Salem High School,Virginia Beach,VA,Victims Targeted,0,0,0,0
19890426TXAMD,1989,Spring,A Maceo Smith High School,Dallas,TX,Victims Targeted,0,1,0,0
19890303INWIG,null,null,null,null,null,null,,unknown,unknown,
null,null,null,null,null,null,null,,unknown,unknown,
null,null,null,null,null,null,null,,unknown,unknown,
19890210UTTHK,1989,Winter,Thomas Jefferson Junior High School,Kearns,UT,Neither,,0,0,0
19890209IDRIR,1989,Fall,Rigby Junior High School,Rigby,ID,null,unknown,unknown,0,unknown
19890126DCWOW,1989,Winter,Woodrow Wilson HIgh School,Washington,DC,Victims Targeted,0,0,0,0
19890117CACLS,1989,Winter,Cleveland Elementary School,Stockton,CA,Random Shooting,,0,0,1
19890105ARHEL,1989,Winter,Henderson Junior High School,Little Rock,AR,Victims Targeted,0,0,unknown,0
19881216VAATV,1988,Winter,Atlantic Shores Christian School,Virginia Beach,VA,Both,1,0,0,1
19881122TXABA,1988,Fall,Abilene Cooper High School,Abilene,TX,Victims Targeted,,0,0,0
19881107UTGLS,1988,Fall,Glendale Intermediate School,Salt Lake City,UT,null,,0,0,0
19881101FLPAJ,1988,Fall,Paxon High School,Jacksonville,FL,Victims Targeted,,unknown,0,0
19881007TXDIP,1988,Fall,Dick Dowling Elementary School,Port Arthur,TX,Victims Targeted,0,0,0,0
19881007MDSOB,1988,Fall,Southwestern Senior High School,Baltimore,MD,Random Shooting,0,0,1,0
19881006ALMOM,1988,Fall,Most Pure Heart of Mary School,Mobile,AL,Victims Targeted,0,1,0,0
19881005MDEDB,1988,Fall,Edmondson Westside Senior High School,Baltimore,MD,Random Shooting,0,0,0,0
19881004LAISB,1988,Fall,Istrouma Senior High School,Baton Rouge,LA,Victims Targeted,0,0,0,0
19881004FLJEJ,1988,Fall,J E B Stuart Junior High School (bus),Jacksonville,FL,Both,0,0,unknown,0
19881003FLMAM,1988,Fall,Mascotte Elementary School ,Mascotte,FL,null,,0,0,0
19880926SCOAG,1988,Fall,Oakland Elementary School,Greenwood,SC,Random Shooting,1,0,0,0
19880922ILMOC,1988,Fall,Moses Montefoire Public School,Chicago,IL,Random Shooting,0,0,0,0
19880903TXLID,1988,Fall,Lincoln High School,Dallas,TX,Both,0,0,unknown,0
19880902NCGAC,1988,Fall,Garinger High School,Charlotte,NC,Both,0,0,0,0
19880902GAGLA,1988,Fall,Glen Hills High School,Augusta,GA,Both,0,0,0,0
19880831SCWEA,1988,Summer,West Franklin Elementary School,Anderson,SC,Victims Targeted,0,0,0,0
19880831MICED,1988,Summer,Central High School,Detroit,MI,Victims Targeted,0,0,1,0
19880711MSLAJ,1988,Summer,Lanier High School,Jackson,MS,Victims Targeted,,0,1,0
19880710WISIM,1988,Summer,Siefert Elementary School,Milwaukee,WI,Victims Targeted,,0,1,0
19880630HIAIO,1988,Summer,Aiea High School,Oahu,HI,Victims Targeted,0,0,0,0
19880617MIJOD,1988,Summer,Joy Middle School,Detroit,MI,Victims Targeted,0,0,0,0
19880602MSWIJ,1988,Summer,Wingfield High School,Jackson,MS,Victims Targeted,0,0,1,0
19880531NYPUB,1988,Spring,Public School 67,Bronx,NY,Random Shooting,0,0,0,0
19880520ILHUW,1988,Spring,Hubbard Woods Elementary School,Winnetka,IL,Both,0,0,0,0
19880516FLFOF,1988,Spring,Fort Myers Middle School,Fort Myers,FL,Victims Targeted,,0,0,0
19880505ILMAC,1988,Spring,Martin Luther King High School,Chicago,IL,Random Shooting,0,0,0,0
19880324TXTRA,1988,Spring,Travis High School,Austin,TX,null,,unknown,0,0
19880323CACAS,1988,Spring,Cajon High School,San Bernadino,CA,null,,unknown,0,0
19880304MILED,1988,Spring,Lessenger Junior High,Detroit,MI,Random Shooting,0,0,0,0
19880226RIBRB,1988,Winter,Bristol High School,Bristol,RI,Victims Targeted,0,0,0,0
19880211FLPIL,1988,Winter,Pinellas Park High School,Largo,FL,Neither,0,0,0,0
19880202ALWET,1988,Winter,West End Christian Elementary School,Tuscaloosa,AL,Random Shooting,0,0,0,0
19880129TXREA,1988,Winter,Reagan High School,Austin,TX,Victims Targeted,0,0,0,0
19880120LASIR,1988,Winter,Simsboro High School,Ruston,LA,Victims Targeted,0,0,0,0
19880108PACRM,1988,Winter,Crawford County Joint Vocational Technical School,Meadville,PA,null,,unknown,0,
19880106FLGAT,1988,Winter,Gaither High School,Tampa,FL,Victims Targeted,0,0,0,0
19880105PASPS,1988,Winter,Springfield High School,Springfield,PA,Victims Targeted,0,0,0,0
19871216TXMAK,1987,Winter,Mayde Creek High School,Katy,TX,null,,0,0,0
19871215NYGRB,1987,Winter,Grady Vocational-Technical School,Brighton Beach,NY,Random Shooting,0,0,0,0
19871204NYEAN,1987,Winter,East New York High School of Transit Technology,New York,NY,Victims Targeted,0,0,0,0
19871202FLENJ,1987,Winter,Englewood High School,Jacksonville,FL,NA,,unknown,0,
19871130TXPES,1987,Fall,Perales Elementary School,San Antonio,TX,Victims Targeted,0,1,0,0
19871114FLCLC,1987,Fall,Clearwater High School,Clearwater,FL,Victims Targeted,0,0,0,0
19871104MISOD,1987,Fall,Southwestern High School,Detroit,MI,Victims Targeted,0,0,0,0
19871031SCANA,1987,Fall,Andrews High School,Andrews,SC,Random Shooting,unknown,0,0,unknown
19871030NCSOK,1987,Fall,Southwood Elementary School,Kingston,NC,null,0,0,0,0
19871014ILDUC,1987,Fall,DuSable High School,Chicago,IL,null,,unknown,1,0
19870928ILILL,1987,Fall,Illiana Christian High School,Lansing,IL,null,,0,0,0
19870513ILOAO,1987,Spring,Oak Lawn Community High School,Oak Lawn,IL,Victims Targeted,0,0,0,0
19870506FLLET,1987,Spring,Leto High School,Tampa,FL,Victims Targeted,0,0,0,0
19870506ARMAJ,1987,Spring,MacAuthur Junior High,Jonesboro,AR,Victims Targeted,0,0,0,0
19870503INPII,1987,Spring,Pike Township High School,Indianapolis,IN,Random Shooting,0,0,0,0
19870430ORGRP,1987,Spring,Grant High School,Portland,OR,Victims Targeted,0,0,0,0
19870416MIMUD,1987,Spring,Murray-Wright High School,Detroit,MI,Both,,0,0,0
19870330CAPAS,1987,Spring,Panorama Elementary School,Santa Ana,CA,Victims Targeted,0,0,0,0
19870306TXRIE,1987,Spring,Riverside High School,El Paso,TX,Random Shooting,0,0,0,0
